"CODRM","NOME_RM","ANO","ESPVIDA","FECTOT","MORT1","MORT5","SOBRE40","SOBRE60","RAZDEP","T_ENV","E_ANOSESTUDO","T_ANALF11A14","T_ANALF15A17","T_ANALF15M","T_ANALF18A24","T_ANALF18M","T_ANALF25A29","T_ANALF25M","T_ATRASO_2_BASICO","T_ATRASO_2_FUND","T_FBBAS","T_FBFUND","T_FBMED","T_FBSUPER","T_FLBAS","T_FLFUND","T_FLMED","T_FLSUPER","T_FREQ0A5","T_FREQ15A17","T_FREQ18A24","T_FREQ25A29","T_FREQ5A6","T_FREQ6A14","T_FREQ6A17","T_FREQFUND1517","T_FREQFUND1824","T_FREQMED1824","T_FUND11A13","T_FUND15A17","T_FUND18A24","T_FUND18M","T_FUND25M","T_MED18A20","T_MED18A24","T_MED18M","T_MED25M","T_SUPER25M","CORTE1","CORTE2","CORTE3","CORTE4","CORTE9","GINI","PIND","PINDCRI","PMPOB","PMPOBCRI","PPOB","PPOBCRI","PREN10RICOS","PREN20","PREN20RICOS","PREN40","PREN60","PREN80","PRENTRAB","R1040","R2040","RDPC","RDPC1","RDPC10","RDPC2","RDPC3","RDPC4","RDPC5","RDPCT","RIND","RMPOB","RPOB","THEIL","P_AGRO","P_COM","P_CONSTR","P_EXTR","P_SERV","P_SIUP","P_TRANSF","CPR","EMP","P_FORMAL","TRABCC","TRABPUB","TRABSC","P_FUND","P_MED","P_SUPER","REN0","REN1","REN2","REN3","REN5","RENOCUP","THEILtrab","T_ATIV","T_ATIV1014","T_ATIV1517","T_ATIV1824","T_ATIV18M","T_ATIV2529","T_DES","T_DES1014","T_DES1517","T_DES1824","T_DES18M","T_DES2529","T_AGUA","T_BANAGUA","T_DENS","T_LIXO","T_LUZ","AGUA_ESGOTO","PAREDE","T_CRIFUNDIN_TODOS","T_FORA0A5","T_FORA6A14","T_FUNDIN_TODOS","T_FUNDIN_TODOS_MMEIO","T_FUNDIN18MINF","T_M10A17CF","T_MULCHEFEFIF014","T_NESTUDA_NTRAB_MMEIO","T_OCUPDESLOC_1","T_RMAXIDOSO","T_SLUZ","T_VULNERA_NESTUDA_NTRAB_MMEIO","T_VULNERA_MULCHEFE","T_VULNERA_RMAXIDOSO","T_VULNERA_OCUPDESLOC_13","HOMEM0A4","HOMEM10A14","HOMEM15A19","HOMEM20A24","HOMEM25A29","HOMEM30A34","HOMEM35A39","HOMEM40A44","HOMEM45A49","HOMEM50A54","HOMEM55A59","HOMEM5A9","HOMEM60A64","HOMEM65A69","HOMEM70A74","HOMEM75A79","HOMENS80","HOMEMTOT","MULH0A4","MULH10A14","MULH15A19","MULH20A24","MULH25A29","MULH30A34","MULH35A39","MULH40A44","MULH45A49","MULH50A54","MULH55A59","MULH5A9","MULH60A64","MULH65A69","MULH70A74","MULH75A79","MULHER80","MULHERTOT","PEA","PEA1014","PEA1517","PEA18M","PESO1","PESO1114","PESO1113","PESO1214","PESO13","PESO15","PESO1517","PESO1524","PESO1618","PESO18","PESO1820","PESO1824","PESO1921","PESO25","PESO4","PESO5","PESO6","PESO610","PESO617","PESO65","PESOM1014","PESOM1517","PESOM15M","PESOM25M","PESORUR","PESOTOT","PESOURB","PIA","PIA1014","PIA1517","PIA18M","POP","POPT","MULCHEFEFDOM","DOMVULNERACOMID","POPVULNERAVEL15A24","OCUPMMEIOD","T_FBFUND_TUDO","T_FBMED_TUDO","T_FBBAS_TUDO","T_FLFUND_TUDO","T_FLMED_TUDO","T_FLBAS_TUDO","T_FUND11A13_TUDO","I_ESCOLARIDADE","I_FREQ_PROP","IDHM","IDHM_E","IDHM_L","IDHM_R"
"61300","RM Manaus (AM)","2000","68.77","2.80","34.20","41.53","89.55","75.22","60.27","3.20","7.99","4.34","2.73","7.65","3.11","8.23","3.97","10.14","37.20","29.17","105.48","118.39","68.97","11.93","82.54","85.77","24.41","4.85","17.05","78.95","35.31","13.70","59.25","88.69","86.14","48.01","11.18","14.93","46.33","29.22","53.09","48.16","46.33","18.62","25.84","30.12","31.72","4.80","97.60","168.27","289.69","571.47","1008.58","0.63","13.23","18.99","32.75","43.77","55.91","67.80","51.83","2.18","67.17","7.48","16.54","32.83","80.00","27.71","17.96","487.67","53.05","2527.48","129.36","220.81","397.39","1637.71","499.47","38.18","77.48","124.50","0.72","6.83","18.35","7.62","0.20","49.04","0.53","15.83","26.64","1.87","49.62","35.44","9.92","23.08","55.80","38.83","5.81","3.12","41.71","72.36","81.09","90.65","1237.63","0.57","","5.49","28.24","65.92","68.21","76.20","","34.92","48.17","34.13","21.72","22.34","86.08","61.59","61.19","90.97","95.33","16.86","","40.03","82.95","11.31","32.14","25.81","44.38","5.48","24.14","18.98","","2.61","4.67","34.18","32.47","45.03","","102391","87915","93737","88816","73353","62808","54448","43240","32827","23527","16138","94716","12616","8915","6436","4121","3641","809645","99336","89056","99417","94408","78165","64589","55338","44439","33457","24021","17468","92873","14106","10743","7896","5211","5664","836187","","9716","32440","658003","40812","142395","105512","108001","120962","1079545","114873","376378","116298","964672","118065","261505","114725","703167","39953","40335","39483","181830","439098","52627","89056","59075","554922","361097","122568","1645832","1523264","1256516","176971","114873","964672","1631641","","","","","","126.00","77.13","113.23","88.77","26.95","86.26","67.16","0.482","0.384","0.585","0.414","0.730","0.661"
"61500","RM Belém (PA)","2000","70.13","2.27","29.40","35.46","90.33","76.92","52.38","4.16","8.64","4.46","2.57","6.04","2.64","6.42","3.45","7.68","35.21","27.85","110.95","120.56","85.11","11.17","86.42","91.48","26.83","6.50","29.44","83.71","39.61","13.29","79.22","94.26","91.40","44.46","7.99","18.79","49.05","31.27","59.01","52.70","50.58","20.06","26.64","30.59","31.91","7.15","109.32","188.67","298.18","585.63","1069.09","0.62","9.19","13.83","28.08","38.70","53.12","65.53","51.96","2.57","66.79","8.15","17.26","33.21","76.52","25.51","16.39","524.82","67.48","2727.01","146.36","239.12","418.62","1752.52","530.82","41.76","83.82","134.40","0.70","2.84","21.82","7.62","0.15","55.54","0.58","9.76","27.99","2.13","46.45","33.40","9.16","25.38","58.30","37.02","8.48","1.97","47.10","75.50","83.13","91.37","1191.39","0.65","","4.09","22.91","59.78","65.36","75.23","","28.31","39.11","32.58","18.42","20.31","95.18","68.57","54.95","90.75","99.04","11.18","","32.64","70.56","5.74","25.39","20.20","40.35","3.94","18.13","16.92","","2.51","0.96","31.07","24.96","42.10","","98829","96806","106668","100192","85902","73672","63545","53680","41787","31672","22656","96705","17621","12465","9040","5453","5128","921819","95375","99077","116254","110357","94668","82327","69727","59485","46938","36301","27075","93964","22073","16919","12880","8145","10565","1002130","","8012","30641","811484","40089","163036","120994","122918","119061","1375307","133746","444458","139211","1241561","141752","310712","137003","930849","41108","40982","41071","193676","490458","82052","101683","69601","729670","497542","64146","1973259","1909113","1571190","195883","133746","1241561","1964065","","","","","","133.10","91.84","121.92","93.65","29.95","91.24","70.41","0.527","0.449","0.621","0.474","0.752","0.672"
"62100","RM Grande São Luís (MA)","2000","68.73","2.24","38.30","49.25","88.43","75.04","54.37","3.77","9.37","4.29","2.88","8.61","3.72","9.33","4.74","11.38","27.81","20.58","110.72","121.58","83.17","11.45","89.77","93.22","38.67","5.79","33.91","86.09","34.49","10.92","88.84","95.86","93.10","41.03","8.33","16.97","62.66","43.78","64.93","57.06","54.17","26.60","34.36","37.84","39.12","6.12","81.66","146.41","244.01","496.39","958.48","0.65","15.30","21.50","38.10","49.19","61.60","72.32","53.94","2.11","69.12","7.15","15.52","30.88","77.65","30.16","19.33","449.12","47.30","2422.59","113.34","187.90","344.81","1552.26","461.22","38.73","77.12","119.63","0.76","5.87","18.19","9.05","0.57","56.84","0.71","7.82","28.01","2.18","47.56","33.24","9.89","24.09","62.96","46.12","7.28","2.63","52.62","77.64","84.35","91.90","1080.89","0.65","","3.69","21.24","61.41","66.57","76.25","","38.60","48.59","38.60","20.48","22.28","86.32","54.96","51.36","74.21","98.58","18.93","","28.25","66.09","4.14","21.87","19.10","37.14","3.32","16.13","20.09","","3.64","1.42","31.74","23.82","49.20","","56126","61211","64880","56633","45663","39821","34027","28036","21714","15940","11529","54230","9001","6649","4527","2945","2853","515785","54301","64010","74232","66125","53976","47521","40173","31692","24085","17814","13476","53528","11047","8366","6252","4298","5298","576194","","4621","17670","442944","22156","103696","76831","78792","65803","748573","83192","261870","85484","665381","83312","178678","79235","486703","22468","22225","22272","107058","293946","41188","64010","44477","404355","263998","208927","1091979","883052","873794","125221","83192","665381","1086365","","","","","","128.06","88.87","116.97","95.93","41.59","93.30","79.29","0.571","0.555","0.642","0.560","0.729","0.647"
"62300","RM Fortaleza (CE)","2000","69.55","2.38","33.00","40.32","90.11","76.53","56.40","4.94","8.99","6.54","4.81","14.44","6.69","15.44","9.75","18.06","28.79","20.98","108.22","121.81","68.87","15.45","88.44","92.11","31.12","7.62","37.06","82.39","36.41","13.25","85.78","94.53","91.41","45.22","9.93","13.80","60.97","36.10","54.57","43.73","40.47","23.44","27.56","26.74","26.49","6.31","93.70","156.17","260.28","536.82","1061.29","0.65","12.80","19.72","34.31","47.27","59.25","71.79","54.76","2.23","69.80","7.21","15.44","30.20","74.23","30.37","19.35","496.32","55.31","2717.76","123.68","204.12","366.34","1732.13","503.71","41.43","79.78","126.04","0.77","3.99","17.92","7.76","0.20","49.94","0.55","17.28","24.32","2.49","50.23","39.87","5.50","25.85","50.91","33.67","7.55","2.10","52.98","78.24","84.42","91.65","1089.66","0.65","","5.10","28.16","65.94","64.37","75.42","","34.73","43.45","28.83","16.14","16.52","91.77","72.80","44.21","90.47","98.24","11.63","","46.00","62.94","5.47","36.62","30.80","46.41","3.52","20.70","17.99","","3.53","1.76","30.17","32.97","48.34","","157906","163337","162581","144475","123655","116563","105766","79558","63092","52050","36470","159576","30742","21588","17406","11794","10703","1457262","152889","163220","172980","158550","139110","132042","119385","93563","75739","62265","45477","154359","40515","29829","25043","16893","17908","1599767","","16654","55891","1227706","60206","265299","198713","198684","185730","2105742","198478","638586","202836","1907264","203277","440108","194069","1467156","64859","66952","64370","308241","772018","151164","163220","101890","1129299","797769","121494","3057029","2935535","2432299","326557","198478","1907264","3041196","","","","","","129.13","80.93","116.75","94.60","34.02","91.66","78.66","0.437","0.516","0.622","0.488","0.743","0.663"
"62400","RM Natal (RN)","2000","69.49","2.37","39.60","49.93","89.66","76.61","55.61","5.34","9.16","8.62","6.02","16.35","8.06","17.41","10.98","20.16","29.79","22.61","107.28","119.30","73.08","16.04","87.60","91.57","31.48","8.66","36.11","81.43","36.33","12.64","84.69","94.38","91.01","43.14","9.52","13.98","56.99","36.59","54.57","44.98","42.16","24.38","29.62","29.41","29.35","7.60","97.60","171.78","293.46","624.67","1208.34","0.64","11.64","19.02","31.67","45.38","55.03","69.02","52.77","2.18","68.78","7.10","15.53","31.22","71.30","29.73","19.38","537.69","58.60","2837.34","132.26","226.69","421.89","1849.00","545.65","40.93","79.94","126.76","0.76","5.93","17.69","7.58","0.45","55.42","0.52","11.61","21.92","3.05","55.49","42.61","8.00","22.04","54.24","38.63","9.50","2.46","51.97","76.27","82.89","90.79","1149.13","0.64","","5.02","27.29","65.74","63.26","74.70","","35.87","45.43","29.81","16.84","17.54","96.75","81.68","42.13","95.45","98.83","10.21","","45.11","63.89","5.62","35.62","28.94","45.31","3.59","14.49","17.70","","3.70","1.17","32.19","26.43","51.82","","57059","59996","60638","53987","44965","43464","39471","30882","23716","20298","14376","57024","11233","7981","6611","5278","5282","542261","55036","59741","63294","57862","50068","48263","44697","35428","27930","24516","17815","55482","14971","11030","9504","6884","7888","590409","","6011","19983","452376","22607","97670","73180","73446","66684","788332","73226","235781","75311","715106","75038","162555","72202","552551","22804","24064","23334","110509","281405","60458","59741","37330","420150","298994","182381","1132670","950289","908069","119737","73226","715106","1124946","","","","","","126.91","80.47","114.83","94.45","34.94","91.36","75.60","0.450","0.507","0.625","0.487","0.742","0.676"
"62600","RM Recife (PE)","2000","69.26","2.10","38.40","48.62","89.26","75.59","49.78","5.50","8.75","7.87","5.53","12.79","6.12","13.47","8.04","15.50","32.18","24.47","112.09","125.03","76.54","14.08","88.07","91.67","30.54","7.91","38.81","81.36","37.07","12.43","86.13","94.22","90.79","45.83","10.65","14.96","55.25","35.41","55.12","47.13","44.90","23.10","29.56","30.80","31.14","8.95","98.26","174.57","294.28","619.46","1220.06","0.65","10.90","17.40","30.60","43.61","54.82","68.20","54.55","2.17","69.92","7.00","15.16","30.08","71.15","31.16","19.97","560.66","60.93","3058.44","135.40","228.64","418.36","1959.96","567.94","41.14","80.77","128.83","0.79","1.95","18.49","6.86","0.07","58.91","0.71","11.03","22.67","2.90","57.77","45.74","6.05","21.15","57.24","40.80","11.43","1.52","48.99","74.39","81.83","90.04","1242.48","0.67","","4.48","26.12","66.01","62.18","75.57","","44.34","53.07","37.78","22.14","23.22","95.38","80.04","39.50","87.43","99.62","10.80","","41.32","61.19","5.78","32.60","26.34","43.32","3.57","16.89","19.89","","3.79","0.38","34.67","25.40","50.64","","151329","164095","174293","163563","142334","127128","116318","97364","77038","62864","44574","153801","36500","26044","20079","13196","11470","1581990","146115","161349","177455","172217","157621","145176","135386","115113","95633","78095","58425","148955","51269","38731","31331","20441","22263","1755575","","14580","53955","1369452","59757","263962","196984","202691","177790","2408919","206567","690171","214155","2202399","215915","480515","208582","1721514","60152","62450","62663","301916","771862","183508","161204","105418","1296890","953859","108916","3337548","3234647","2734363","325444","206567","2202399","3306954","","","","","","130.50","85.08","118.38","94.29","33.52","91.02","72.40","0.471","0.500","0.627","0.490","0.738","0.683"
"62700","RM Maceió (AL)","2000","65.85","2.47","45.40","57.86","86.78","69.66","55.29","4.36","7.58","10.76","9.82","18.88","12.05","19.84","14.48","22.27","40.08","32.20","106.49","123.38","59.63","12.96","82.80","86.54","22.34","7.56","29.74","76.27","36.64","12.80","72.57","89.14","85.74","48.79","13.54","12.29","43.67","26.43","43.40","40.52","39.62","17.26","21.72","26.23","27.64","7.96","84.22","147.38","254.55","524.62","1054.13","0.67","14.43","21.72","37.01","49.72","60.04","72.08","56.57","2.02","71.21","6.61","14.38","28.79","70.37","34.21","21.53","503.36","50.82","2847.42","115.65","195.57","362.49","1792.28","511.85","40.98","78.20","120.77","0.83","5.27","17.97","7.04","0.19","58.13","0.60","9.57","22.85","2.66","54.54","41.95","7.08","23.85","50.65","35.91","10.29","1.63","52.29","76.33","83.27","91.13","1154.08","0.68","","5.04","26.48","63.17","63.09","74.97","","44.02","50.08","36.01","22.32","23.88","86.37","81.50","44.00","92.71","98.82","6.40","","52.03","70.26","10.86","42.89","36.49","49.06","4.68","18.83","22.43","","3.88","1.18","36.27","29.66","52.54","","56202","53163","55769","50966","43329","38323","33866","27812","22657","17474","12240","53493","9427","6712","4954","3163","3243","492793","54469","53714","58523","56123","49374","44530","39142","32373","25948","20111","14965","51775","12434","9526","7294","4706","5495","540502","","5387","17965","405439","21627","86811","64655","65564","66071","710479","67843","221381","69632","642636","68380","153538","65810","489098","22973","22842","21763","102492","257146","45093","53714","34855","380544","265898","42747","1033295","990548","817356","106877","67843","642636","1019183","","","","","","128.54","65.95","111.96","89.16","24.85","85.77","61.13","0.41","0.40","0.567","0.402","0.681","0.666"
"62900","RM Salvador (BA)","2000","69.58","1.90","39.80","49.68","89.13","75.78","46.31","4.32","8.80","5.18","3.37","7.68","3.56","8.12","4.37","9.62","35.28","25.75","120.85","135.37","85.30","12.81","89.14","92.33","28.93","7.62","34.03","86.89","43.49","14.91","82.94","95.02","92.66","51.22","12.57","18.50","56.63","32.86","57.83","52.20","50.36","21.57","29.40","34.49","36.16","8.04","108.45","195.21","325.35","708.12","1366.46","0.64","9.57","15.49","27.61","40.00","50.49","64.89","53.37","2.16","69.19","7.01","15.29","30.81","74.35","30.43","19.73","614.59","66.36","3279.92","149.19","254.38","476.78","2126.22","620.21","42.01","82.21","131.47","0.78","1.70","17.23","9.38","0.36","59.92","0.73","9.43","20.45","3.20","60.42","48.63","5.32","20.90","59.62","43.15","9.54","1.56","46.40","72.96","80.97","89.64","1284.65","0.68","","6.81","31.42","72.52","70.75","83.13","","48.91","56.96","39.91","23.86","23.86","96.24","85.59","43.97","91.12","99.29","3.70","","37.49","65.97","4.98","28.42","22.02","37.16","3.33","20.95","14.52","","2.38","0.71","27.08","27.43","47.66","","142796","149545","179090","168281","135741","122167","110207","94856","73438","55768","36471","139889","28123","19733","13829","8543","8016","1486493","137009","147807","186919","184138","152322","138617","126838","108565","84390","63661","45381","135662","37763","29410","22752","14756","17820","1633810","","20250","66645","1454255","56301","244183","177256","191796","168409","2267595","212111","718428","221368","2055484","231463","506317","225371","1549167","55095","56827","57267","271893","728187","134859","147807","108033","1213332","842275","70021","3120303","3050282","2564947","297352","212111","2055484","3099673","","","","","","144.09","93.18","129.33","95.07","31.43","92.81","76.20","0.522","0.485","0.636","0.497","0.743","0.698"
"63100","RM Belo Horizonte (MG)","2000","72.01","2.01","23.80","27.88","92.34","79.86","47.37","5.15","9.82","1.78","1.51","6.27","1.75","6.68","2.35","8.07","18.51","12.16","106.57","113.66","87.08","15.70","89.72","93.59","44.07","9.14","25.78","83.89","31.83","11.76","75.60","96.06","92.81","34.50","4.75","14.11","74.52","50.85","65.10","48.94","44.40","31.94","36.28","31.27","29.86","9.71","162.30","285.01","456.79","932.12","1708.08","0.61","3.92","7.33","15.38","25.58","36.07","51.45","50.15","2.66","66.08","8.29","17.46","33.92","74.63","24.21","15.95","782.97","104.14","3926.82","220.27","359.17","644.41","2586.89","785.21","45.79","90.34","150.55","0.69","1.83","16.22","9.19","0.50","55.33","0.76","14.47","20.61","3.63","65.52","50.16","6.68","17.60","56.18","37.94","10.89","1.38","35.00","66.47","76.10","87.46","1491.51","0.60","","5.59","40.50","77.44","69.91","82.91","","51.39","51.03","28.19","16.84","16.00","99.06","95.15","33.34","93.68","99.60","1.78","","38.86","74.22","3.94","29.37","18.32","36.46","2.46","16.26","11.85","","1.49","0.40","33.09","27.96","44.66","","199193","201978","220655","222543","188844","173696","162682","142688","112253","86547","63387","194053","49468","36290","24348","14528","13277","2106430","192956","199065","225561","228966","197194","185523","179824","157505","126618","98743","73323","189176","61161","48615","36325","23805","27152","2251512","","22418","103484","2045570","78155","323161","242676","242784","235547","3181521","255516","897725","271451","2926005","286836","642209","283937","2283796","78447","80331","77575","380780","959457","224340","199065","128618","1670315","1215788","109993","4357942","4247949","3582564","401043","255516","2926005","4330618","","","","","","120.23","100.59","114.99","96.14","47.28","93.00","87.81","0.489","0.582","0.682","0.549","0.784","0.737"
"63200","RM Grande Vitória (MG)","2000","71.75","2.09","23.20","27.08","90.83","77.90","48.59","4.85","10.02","2.34","1.88","7.19","2.00","7.70","2.87","9.30","18.20","12.47","104.35","110.99","86.54","17.54","87.55","91.42","44.41","9.75","26.89","81.46","32.98","12.44","70.18","94.14","90.70","30.47","4.81","13.56","73.78","51.95","65.82","51.43","47.39","32.92","36.41","32.72","31.68","8.23","152.65","273.29","455.49","917.48","1626.74","0.60","4.45","7.98","16.68","26.95","37.55","52.49","47.95","2.69","64.48","8.44","18.07","35.52","74.92","22.72","15.28","731.30","98.33","3506.37","210.34","351.88","638.21","2357.73","733.46","45.40","88.75","147.19","0.66","2.63","17.74","9.73","0.84","55.31","0.50","12.43","21.53","4.03","59.67","45.89","6.30","20.66","58.53","39.23","9.21","1.68","37.06","68.24","77.34","87.97","1415.12","0.59","","6.36","39.46","74.29","69.60","81.86","","47.35","48.02","26.39","16.05","16.28","99.51","93.70","31.85","91.06","99.72","1.91","","36.50","73.11","5.86","28.35","18.43","36.69","3.10","15.58","12.61","","1.70","0.28","33.64","27.39","50.74","","66789","71264","76440","70739","58882","56267","54244","48647","39113","27856","19364","65403","15259","11905","8467","4800","4158","699597","64288","69823","77117","74137","63169","60954","59878","52887","41891","30699","22267","63156","18748","14964","11232","6766","7564","739540","","8973","35527","660073","26213","114824","85264","86938","78961","1038414","90033","298433","94072","948381","94247","208400","90821","739981","25903","26760","26151","128062","332919","69856","69823","45160","542273","391019","26620","1439137","1412517","1179501","141087","90033","948381","1432003","","","","","","118.79","98.04","113.15","94.21","48.30","91.12","85.76","0.514","0.572","0.678","0.552","0.779","0.726"
"63300","RM Rio Janeiro (RJ)","2000","71.51","1.99","23.70","27.66","90.64","77.52","47.79","7.64","9.11","2.50","1.88","5.67","2.30","5.95","2.96","6.77","25.21","19.14","107.47","116.80","81.24","20.11","88.08","91.93","38.14","11.04","31.52","82.26","33.26","12.03","80.01","95.01","91.67","37.13","5.79","12.68","62.44","46.42","64.85","54.53","52.21","30.70","36.31","34.96","34.66","11.28","189.35","325.35","549.84","1098.54","1952.09","0.61","3.33","6.49","12.42","21.80","30.23","46.02","49.03","2.58","65.24","8.22","17.67","34.76","69.03","23.87","15.88","900.81","116.21","4416.99","253.88","425.68","769.81","2938.45","903.31","44.77","88.88","151.14","0.68","0.74","16.93","7.69","0.22","61.38","0.59","10.39","22.02","3.13","62.84","46.87","6.71","20.25","62.47","43.01","13.47","1.05","27.42","60.87","72.22","85.60","1655.67","0.58","","3.55","26.11","70.08","64.20","79.48","","45.18","47.90","28.92","16.80","17.80","97.41","92.28","39.60","94.12","99.87","2.45","","31.98","68.48","4.99","25.45","13.72","35.21","3.50","13.35","11.42","","1.83","0.13","36.43","21.85","52.28","","468714","451088","491081","488115","435429","407894","405117","369618","314210","258717","188247","453556","160491","127861","94824","56548","46849","5218359","452765","441712","495995","503783","462181","446065","454340","425020","370712","304870","230759","440195","206165","175922","143023","93436","98994","5745937","","31694","148271","4935950","181623","715364","534106","535403","556046","8256266","567871","1978974","596364","7688395","630083","1411103","619911","6277292","183810","188048","183689","883139","2166374","837457","441712","284969","4411265","3411487","98408","10964296","10865888","9149066","892800","567871","7688395","10890412","","","","","","123.70","91.02","115.13","95.13","43.02","92.14","79.77","0.545","0.549","0.686","0.548","0.775","0.759"
"63500","RM São Paulo (SP)","2000","72.40","2.02","18.90","21.99","92.13","79.59","46.82","5.48","10.24","1.65","1.34","5.57","1.82","5.93","2.80","6.99","13.72","8.48","102.46","107.79","87.87","18.67","87.45","90.78","49.45","10.98","23.42","84.03","30.24","11.27","72.74","95.11","92.14","26.69","3.80","11.47","78.45","59.77","70.82","52.89","48.25","39.91","43.68","34.57","32.21","11.19","226.44","390.42","637.36","1236.32","2179.83","0.59","2.15","3.99","8.85","15.32","24.17","37.38","48.16","2.79","64.11","8.74","18.58","35.89","80.60","22.05","14.67","1016.70","141.72","4896.87","302.44","500.25","880.22","3258.89","1018.30","45.81","92.23","158.66","0.65","0.61","16.35","6.81","0.08","54.10","0.45","19.82","19.94","3.53","65.39","51.55","4.54","19.57","61.78","43.43","13.47","0.91","14.39","50.83","63.79","81.04","2096.65","0.55","","5.52","43.64","78.98","69.41","82.20","","62.32","54.37","27.88","17.42","16.84","99.00","96.78","45.00","98.74","99.85","0.68","","32.45","76.58","4.89","24.51","11.20","35.04","2.70","13.47","8.44","","1.08","0.15","36.85","27.03","52.99","","811894","806574","864874","859318","790415","735742","669643","588816","486383","379638","265937","768140","209242","154360","115183","68179","55394","8629732","787120","800667","892293","901614","831018","777765","735027","652650","542842","427481","308662","748378","257804","204355","166178","106643","108583","9249080","","88720","447106","8420479","318608","1296934","963411","981376","963181","13156039","1024532","3518099","1067308","12131507","1100261","2493567","1079378","9637940","317225","319779","307836","1507046","3828512","978875","800667","519286","6912915","5119008","759303","17878812","17119509","14763280","1607241","1024532","12131507","17723494","","","","","","116.50","101.86","112.58","95.23","55.53","92.59","88.27","0.529","0.627","0.714","0.592","0.790","0.779"
