"CODRM","NOME_RM","ANO","ESPVIDA","FECTOT","MORT1","MORT5","SOBRE40","SOBRE60","RAZDEP","T_ENV","E_ANOSESTUDO","T_ANALF11A14","T_ANALF15A17","T_ANALF15M","T_ANALF18A24","T_ANALF18M","T_ANALF25A29","T_ANALF25M","T_ATRASO_2_BASICO","T_ATRASO_2_FUND","T_FBBAS","T_FBFUND","T_FBMED","T_FBSUPER","T_FLBAS","T_FLFUND","T_FLMED","T_FLSUPER","T_FREQ0A5","T_FREQ15A17","T_FREQ18A24","T_FREQ25A29","T_FREQ5A6","T_FREQ6A14","T_FREQ6A17","T_FREQFUND1517","T_FREQFUND1824","T_FREQMED1824","T_FUND11A13","T_FUND15A17","T_FUND18A24","T_FUND18M","T_FUND25M","T_MED18A20","T_MED18A24","T_MED18M","T_MED25M","T_SUPER25M","CORTE1","CORTE2","CORTE3","CORTE4","CORTE9","GINI","PIND","PINDCRI","PMPOB","PMPOBCRI","PPOB","PPOBCRI","PREN10RICOS","PREN20","PREN20RICOS","PREN40","PREN60","PREN80","PRENTRAB","R1040","R2040","RDPC","RDPC1","RDPC10","RDPC2","RDPC3","RDPC4","RDPC5","RDPCT","RIND","RMPOB","RPOB","THEIL","P_AGRO","P_COM","P_CONSTR","P_EXTR","P_SERV","P_SIUP","P_TRANSF","CPR","EMP","P_FORMAL","TRABCC","TRABPUB","TRABSC","P_FUND","P_MED","P_SUPER","REN0","REN1","REN2","REN3","REN5","RENOCUP","THEILtrab","T_ATIV","T_ATIV1014","T_ATIV1517","T_ATIV1824","T_ATIV18M","T_ATIV2529","T_DES","T_DES1014","T_DES1517","T_DES1824","T_DES18M","T_DES2529","T_AGUA","T_BANAGUA","T_DENS","T_LIXO","T_LUZ","AGUA_ESGOTO","PAREDE","T_CRIFUNDIN_TODOS","T_FORA0A5","T_FORA6A14","T_FUNDIN_TODOS","T_FUNDIN_TODOS_MMEIO","T_FUNDIN18MINF","T_M10A17CF","T_MULCHEFEFIF014","T_NESTUDA_NTRAB_MMEIO","T_OCUPDESLOC_1","T_RMAXIDOSO","T_SLUZ","T_VULNERA_NESTUDA_NTRAB_MMEIO","T_VULNERA_MULCHEFE","T_VULNERA_RMAXIDOSO","T_VULNERA_OCUPDESLOC_13","HOMEM0A4","HOMEM10A14","HOMEM15A19","HOMEM20A24","HOMEM25A29","HOMEM30A34","HOMEM35A39","HOMEM40A44","HOMEM45A49","HOMEM50A54","HOMEM55A59","HOMEM5A9","HOMEM60A64","HOMEM65A69","HOMEM70A74","HOMEM75A79","HOMENS80","HOMEMTOT","MULH0A4","MULH10A14","MULH15A19","MULH20A24","MULH25A29","MULH30A34","MULH35A39","MULH40A44","MULH45A49","MULH50A54","MULH55A59","MULH5A9","MULH60A64","MULH65A69","MULH70A74","MULH75A79","MULHER80","MULHERTOT","PEA","PEA1014","PEA1517","PEA18M","PESO1","PESO1114","PESO1113","PESO1214","PESO13","PESO15","PESO1517","PESO1524","PESO1618","PESO18","PESO1820","PESO1824","PESO1921","PESO25","PESO4","PESO5","PESO6","PESO610","PESO617","PESO65","PESOM1014","PESOM1517","PESOM15M","PESOM25M","PESORUR","PESOTOT","PESOURB","PIA","PIA1014","PIA1517","PIA18M","POP","POPT","MULCHEFEFDOM","DOMVULNERACOMID","POPVULNERAVEL15A24","OCUPMMEIOD","T_FBFUND_TUDO","T_FBMED_TUDO","T_FBBAS_TUDO","T_FLFUND_TUDO","T_FLMED_TUDO","T_FLBAS_TUDO","T_FUND11A13_TUDO","I_ESCOLARIDADE","I_FREQ_PROP","IDHM","IDHM_E","IDHM_L","IDHM_R"
"63501","RM Baixada Santista (SP)","2000","72.20","2.16","19.30","22.40","91.99","79.28","49.05","7.02","10.19","1.09","1.00","5.79","2.04","6.18","2.91","7.18","15.78","10.25","103.42","109.44","86.89","16.99","89.34","92.89","47.64","10.73","25.70","83.00","31.13","10.40","77.35","95.99","92.53","29.21","3.68","12.23","76.98","56.19","66.71","51.07","47.28","36.15","39.49","32.45","30.75","9.83","217.98","378.71","610.03","1140.02","1874.01","0.56","2.75","5.04","9.69","17.00","25.13","39.17","43.69","3.09","60.17","9.82","20.88","39.83","71.84","17.80","12.26","872.76","134.63","3813.05","293.84","482.57","826.85","2625.91","875.35","42.70","88.58","155.47","0.56","0.97","16.23","9.91","0.10","60.55","0.49","9.98","21.87","3.88","61.21","46.75","4.98","21.24","58.69","40.25","11.86","1.35","19.83","56.20","69.25","85.28","1696.77","0.50","","6.09","44.30","76.78","66.28","81.90","","62.36","53.55","31.50","18.99","18.74","97.37","95.73","42.12","98.57","99.67","1.17","","34.69","74.30","4.01","26.99","12.29","37.52","3.45","13.36","9.89","","1.09","0.33","38.33","25.32","46","","65290","66031","70926","67889","60835","56544","53691","48313","41475","32487","25070","62986","21059","16691","12513","7573","5918","715291","62879","64211","71511","70015","62699","59283","58573","52927","45230","37138","29287","60923","25884","21275","17357","11125","11212","761529","","7932","37026","670037","25363","105380","78346","79357","77421","1094500","83581","280341","86569","1010919","88195","196760","86285","814159","25385","25374","25256","123397","312358","103664","64211","42079","573516","431990","6046","1476820","1470774","1224742","130242","83581","1010919","1466413","","","","","","116.82","100.40","112.44","96.06","52.44","92.940","88.960","0.511","0.617","0.700","0.579","0.787","0.754"
"63502","RM Campinas (SP)","2000","73.04","1.99","17.77","20.69","92.57","80.59","45.71","5.83","10.11","1.01","0.85","5.60","1.25","5.99","1.89","7.17","13.03","8.57","100.41","105.52","86.17","18.25","87.64","91.26","51.11","10.72","24.73","83.21","28.93","11.31","71.98","95.46","92.23","24.47","3.00","10.75","78.84","61.73","70.80","49.64","44.37","39.85","42.89","31.49","28.65","10.13","253.77","416.45","650.70","1171.25","1955.21","0.55","1.46","2.72","6.49","11.38","20.18","31.61","44.56","3.43","60.47","10.40","21.36","39.53","79.87","17.14","11.63","955.99","163.94","4260.00","333.21","523.94","868.35","2890.51","956.72","46.51","94.74","164.73","0.55","2.84","14.95","8.33","0.10","47.30","0.61","24.14","18.88","3.80","68.61","55.83","3.31","17.18","58.65","39.15","11.77","1.04","15.64","53.85","67.43","83.73","1859.13","0.51","","6.14","47.88","80.38","69.10","82.45","","55.46","42.56","22.69","14.37","13.84","98.41","97.56","32.46","98.89","99.89","0.52","","33.42","75.27","4.54","26.49","10.41","36.13","2.63","9.97","7.04","","1.09","0.11","38.03","25.24","52","","97167","106899","113706","113017","103249","98489","92746","82796","68051","53040","37637","99724","30300","23206","17302","10054","8520","1155903","93172","104404","112996","112902","102738","100367","97011","86692","70689","54015","40266","96207","33961","27597","21673","13967","13824","1182481","0","13009","62978","1112010","36675","170189","126498","128752","114715","1740811","131460","452621","137951","1609351","142609","321161","139649","1288190","38949","40283","39062","196762","498411","136143","104404","65259","888698","662800","68666","2338384","2269718","1952084","211273","131434","1609377","2321260","","","","","","114.73","102.76","111.57","95.57","56.66","92.560","88.060","0.496","0.631","0.710","0.582","0.801","0.769"
"63503","RM Vale do Paraíba e Litoral Norte (SP)","2000","72.75","2.26","18.30","21.27","92.37","80.14","49.11","5.34","10.42","1.16","1.05","5.81","1.62","6.24","2.39","7.45","12.17","7.57","103.19","106.95","92.62","15.28","89.95","92.98","53.33","9.23","22.69","83.75","29.05","10.78","73.41","95.94","92.75","25.14","3.25","12.31","82.06","62.20","70.04","50.31","45.15","39.46","42.76","32.17","29.40","8.83","190.33","317.70","521.21","976.05","1610.47","0.56","3.30","5.94","12.03","19.80","30.44","43.03","44.57","3.12","60.74","9.76","20.62","39.26","76.96","18.27","12.45","759.40","118.33","3384.82","252.23","412.56","707.53","2306.38","761.21","45.39","89.16","153.14","0.57","4.30","13.95","9.51","0.30","51.46","0.56","19.03","20.01","3.47","62.73","48.75","5.54","20.75","58.90","40.31","10.52","1.58","25.91","60.67","71.61","86.43","1573.74","0.53","","6.34","42.08","75.90","66.71","78.76","","53.64","46.31","27.77","16.70","16.09","97.48","96.58","38.34","98.71","99.08","1.18","","32.45","77.31","4.06","26.24","14.29","38.34","2.66","11.63","10.42","","1.75","0.92","36.18","25.02","51","","90282","97487","102538","96295","84134","79272","75820","67769","57064","44878","31590","92021","24627","18320","13254","8164","6961","990476","86993","94345","100172","94409","84331","80356","80077","70299","57433","45475","32918","88641","26504","21219","16527","10864","11071","1001634","","12162","49949","883001","34517","154143","114519","115668","106548","1442341","118700","393414","123525","1323641","125107","274714","120669","1048927","36210","37224","35692","181127","453970","106380","94345","58664","731655","537074","140210","1992110","1851900","1634173","191832","118700","1323641","1975212","","","","","","113.34","107.69","111.86","96.05","57.81","93.110","90.680","0.503","0.643","0.701","0.592","0.796","0.732"
"64100","RM Curitiba (PR)","2000","72.56","2.17","21.60","25.18","91.43","79.16","48.68","4.92","10.10","1.25","1.19","5.32","1.39","5.68","1.92","6.83","14.63","11.88","95.47","100.84","79.92","21.58","84.07","89.18","45.23","12.78","21.71","74.13","30.22","12.14","63.71","93.85","88.79","20.01","2.47","9.61","74.29","60.38","68.82","52.40","47.99","36.37","40.31","34.29","32.67","10.98","195.21","339.27","557.13","1106.18","1952.09","0.60","3.20","5.61","11.21","18.62","28.59","41.88","48.40","2.73","64.55","8.63","18.31","35.45","78.79","22.43","14.96","901.38","123.24","4362.57","265.69","436.34","772.57","2909.04","906.19","39.63","87.53","153.97","0.65","4.83","16.29","8.61","0.25","50.61","0.59","16.79","22.61","4.15","64.26","50.80","4.19","15.82","59.65","41.01","12.12","2.47","24.80","60.09","71.66","85.21","1730.44","0.57","","6.41","43.70","76.53","70.63","82.43","","43.17","41.77","21.55","13.02","12.76","99.30","93.27","26.67","98.91","99.05","1.70","","34.69","78.29","6.15","27.57","14.97","34.81","3.44","11.76","10.22","","1.25","0.95","38.63","25.29","51.87","","133834","131783","138982","139032","126550","117296","106054","89780","74330","57307","41137","133073","31825","23432","16594","9852","7938","1378799","128329","128432","139015","139635","128640","122236","115147","98198","81186","62545","46304","127263","36996","29756","22470","14365","13921","1434438","","16680","70402","1320372","51916","208348","155790","155844","156380","2030523","161102","556664","169686","1869421","175027","395562","171062","1473859","53867","54985","52462","257218","626668","138328","128432","80101","1050414","771764","260268","2813237","2552969","2290738","260215","161102","1869421","2790236","","","","","","109.77","97.82","106.70","94.20","52.40","89.45","85.11","0.524","0.587","0.698","0.565","0.793","0.759"
"64300","RM Porto Alegre (RS)","2000","73.55","2.17","16.20","18.80","93.81","81.91","48.28","6.35","10.08","1.47","1.37","4.79","1.60","5.07","2.11","5.88","17.96","12.57","96.96","106.03","71.62","26.20","86.64","90.96","42.14","14.10","16.93","77.64","30.84","12.98","52.90","94.04","89.72","28.67","3.32","8.99","75.38","51.95","65.69","50.43","46.86","33.77","38.59","32.24","30.76","9.65","202.53","351.38","577.82","1122.45","1952.09","0.58","2.81","5.66","10.52","19.18","26.94","42.32","47.05","2.87","63.34","9.05","19.10","36.66","74.47","20.80","14.00","896.72","128.59","4219.12","277.06","450.62","787.47","2839.88","899.24","43.49","89.45","154.89","0.62","2.38","16.33","7.56","0.22","50.38","0.52","21.69","22.14","4.15","68.17","50.57","5.86","15.69","57.83","38.90","10.63","1.63","25.91","61.63","72.74","86.24","1613.93","0.54","","4.91","42.32","78.78","69.49","83.54","","42.68","43.13","22.66","13.15","12.94","98.55","94.05","26.19","98.73","99.48","1.34","","37.94","83.07","5.96","30.80","15.04","34.49","3.41","14.32","9.50","","1.17","0.52","36.48","26.38","52.45","","169024","168853","181946","169350","147924","143969","146090","132566","110535","87935","63876","166816","49079","37472","26192","15404","12410","1829441","162059","163469","179129","169892","151156","151983","159500","144982","123471","99990","75009","161120","62585","52322","41498","26921","28124","1953210","","16317","89672","1792439","67673","266331","198837","199378","197099","2791310","211890","700317","222042","2579420","221666","488427","214639","2090993","66311","68981","65877","324946","803167","240343","163469","104928","1466562","1117541","175618","3782651","3607033","3123632","332322","211890","2579420","3754652","","","","","","112.48","83.98","104.97","94.10","47.00","90.17","87.54","0.504","0.535","0.685","0.524","0.809","0.758"
"65100","RM Vale do Rio Cuiabá (MT)","2000","70.95","2.30","24.70","29.34","90.20","76.33","50.41","3.64","9.86","2.21","1.69","7.66","1.99","8.29","2.96","10.30","23.09","17.16","104.52","113.02","80.80","21.33","86.13","90.02","37.88","10.29","17.80","82.53","35.47","15.68","67.77","94.36","91.24","34.70","6.06","12.65","68.28","46.88","66.50","52.13","47.53","32.55","39.11","34.50","33.03","9.31","152.26","260.28","429.46","831.59","1480.33","0.62","4.28","6.80","16.52","24.65","39.13","51.60","52.34","2.65","67.08","8.17","17.11","32.92","80.91","25.63","16.42","746.19","98.92","3905.47","205.86","333.69","589.72","2502.76","751.27","42.75","88.85","150.02","0.71","4.25","19.48","8.78","0.26","55.64","0.90","9.05","22.46","3.81","55.69","38.63","10.62","23.02","58.39","40.78","10.43","1.54","33.83","66.40","76.33","87.80","1559.88","0.63","","5.59","38.30","71.83","70.45","78.62","","46.19","44.24","25.24","14.13","13.30","97.09","78.48","41.45","90.31","98.50","11.01","","33.15","82.20","5.64","26.89","17.73","37.31","3.35","14.68","11.63","","1.85","1.50","31.66","25.48","46.44","","34456","39333","40655","37957","31951","28772","26252","22568","17628","13443","9420","36378","6943","5010","3410","2026","1936","358138","33119","38422","41392","39990","34218","30916","28173","23925","18154","13490","9408","35256","7575","5378","3739","2231","2696","368082","","4347","18566","324621","13153","62489","46292","47072","40200","509256","48474","159994","49730","460782","50232","111520","48830","349262","14222","14489","14578","72411","183374","26426","38422","24343","261285","179903","28971","726220","697249","587011","77755","48474","460782","718993","","","","","","123.75","100.10","117.51","94.42","43.78","91.61","82.21","0.521","0.539","0.668","0.533","0.766","0.729"
"65200","RM Goiânia (GO)","2000","71.83","2.07","23.00","26.88","90.89","78.03","46.81","4.20","9.55","1.76","1.45","7.23","1.91","7.76","2.92","9.54","25.84","18.58","110.55","121.29","81.44","19.43","89.40","93.01","37.37","11.76","20.83","83.05","35.80","11.79","73.10","95.62","92.24","40.02","7.89","13.14","67.70","44.11","59.73","48.56","45.17","28.10","32.85","31.05","30.51","8.29","175.69","292.81","455.49","888.20","1611.45","0.61","2.93","5.15","13.17","21.57","34.46","48.49","50.35","2.94","65.62","8.89","18.23","34.38","80.87","22.65","14.76","775.29","113.87","3903.68","230.89","361.94","625.97","2543.78","777.61","43.73","92.14","156.01","0.66","3.91","18.71","8.52","0.07","51.48","0.77","15.56","22.95","4.36","52.94","39.75","6.57","25.09","53.82","35.69","8.66","1.33","37.56","69.80","78.38","88.58","1474.26","0.65","","8.89","44.23","74.68","71.55","80.87","","39.48","31.94","18.41","10.92","10.90","99.41","91.89","28.77","96.97","99.75","4.11","","38.81","79.17","4.38","32.13","18.95","39.14","3.28","12.16","9.68","","1.23","0.25","30.62","23.23","45.88","","81007","83577","90985","92052","79311","71259","64435","53290","42181","32715","23607","80442","18513","13096","8897","5393","4905","845665","77727","81698","95057","97538","85139","78404","71690","60244","47606","36230","26047","78161","21170","15850","11067","6987","7017","897632","","14693","47495","825188","30778","133719","99427","100878","95362","1260685","107382","375632","114062","1153303","118419","268250","115473","885053","32594","33036","31999","157123","398224","73212","81698","55011","660046","467451","48341","1743297","1694956","1425960","165275","107382","1153303","1731456","","","","","","125.93","90.56","116.40","95.71","41.62","92.55","82.93","0.486","0.533","0.667","0.517","0.781","0.735"
"65300","RIDE DF e Entorno (DF/GO/MG)","2000","72.45","2.29","21.73","23.80","93.96","83.89","50.50","3.26","9.51","2.21","1.78","7.88","2.74","8.48","4.27","10.37","23.44","16.31","107.85","115.82","85.35","18.86","88.09","91.89","37.03","10.23","21.37","82.62","37.43","14.32","68.28","94.87","91.66","38.18","6.83","14.31","69.73","43.21","58.94","51.48","49.01","25.63","30.90","33.19","33.95","11.49","151.29","279.71","507.54","1171.25","2277.44","0.65","5.21","8.49","17.00","25.86","36.97","49.72","52.85","1.96","69.85","6.36","14.19","30.15","77.64","33.23","21.96","960.32","94.14","5075.15","211.30","375.79","766.36","3354.01","969.11","39.47","84.92","143.38","0.82","4.41","13.90","8.46","0.21","65.04","0.69","6.06","17.35","2.86","61.82","43.43","12.93","22.10","57.63","40.00","12.23","1.35","29.63","59.08","68.37","81.72","1951.23","0.68","","4.64","32.80","72.63","71.56","81.34","","45.50","46.77","27.31","16.02","15.26","93.53","89.79","36.36","92.17","98.76","5.26","","37.91","78.63","5.13","30.25","20.20","36.58","3.65","19.02","11.70","","1.23","1.24","32.94","29.96","47.28","","160599","143505","155562","157361","138863","123569","103738","81871","65666","50075","35419","149355","28601","18071","12214","6978","5839","1437286","154651","142416","166507","170969","150130","133838","115747","90998","72853","54832","38667","145811","30268","20612","14238","8888","9485","1520910","","13267","60547","1343372","64162","230103","171340","173388","189560","2061859","184593","650399","195328","1877266","206188","465806","202615","1411460","61528","63042","60281","287942","702638","96325","142416","95094","1078032","740556","198347","2958196","2759849","2347780","285921","184593","1877266","2931188","","","","","","125.11","100.43","118.66","94.93","40.84","91.92","84.10","0.515","0.517","0.680","0.516","0.791","0.769"
"61300","RM Manaus (AM)","2010","73.70","2.18","17.39","19.40","94.99","84.76","49.94","4.00","9.57","3.28","1.66","4.91","1.46","5.22","1.86","6.23","20.99","15.95","103.58","114.07","72.64","36.10","85.14","89.31","36.42","14.20","32.66","82.83","37.37","19.86","83.92","93.91","91.11","31.89","4.85","9.52","82.30","49.38","73.85","64.69","62.23","36.40","46.02","46.48","46.60","10.14","162.50","275.00","441.67","795.71","1345.00","0.61","5.85","9.19","16.37","25.34","37.41","51.74","51.53","2.59","65.59","8.58","18.26","34.41","79.96","24.01","15.28","725.17","93.84","3736.97","217.38","350.93","585.35","2378.32","733.29","31.96","81.04","148.04","0.70","5.62","17.52","7.46","0.37","45.60","0.84","15.23","22.39","1.25","57.14","46.67","7.11","19.73","69.81","53.01","11.62","3.62","17.01","69.02","81.39","90.31","1367.23","0.48","","7.03","23.00","62.39","68.11","74.34","","23.03","30.85","20.11","10.47","12.53","86.68","79.69","51.63","98.00","98.53","9.71","3.53","22.12","67.34","6.09","16.92","10.68","28.69","4.67","22.13","12.52","3.04","1.90","1.47","33.25","20.86","52.93","19.81","99698","110139","102197","102049","102684","92735","76768","64879","52149","41648","30423","103183","21084","14464","10020","6267","6289","1036676","96600","108529","106103","106252","107766","97846","80764","65591","53610","43968","32662","99143","23555","16529","12279","8359","10090","1069646","","15372","29604","926511","40166","172346","128805","129104","116392","1489030","128714","416601","126398","1360316","119773","287887","118085","1072429","39740","40856","39528","207792","508852","84297","108529","65372","765374","553019","130426","2106322","1975896","1707698","218668","128714","1360316","2100144","","","","","","122.60","107.96","118.89","94.18","45.89","91.33","86.37","0.647","0.630","0.720","0.636","0.812","0.724"
"61500","RM Belém (PA)","2010","74.00","1.81","19.10","23.46","92.73","82.19","43.50","5.49","9.91","2.25","1.58","3.98","1.24","4.17","1.78","4.89","22.90","18.01","107.32","114.18","88.14","30.29","88.45","91.99","40.68","13.46","41.23","87.10","37.40","15.78","90.86","96.27","93.86","32.30","3.84","11.74","81.67","51.46","76.91","66.23","63.63","37.07","46.45","45.37","45.10","11.30","170.00","276.67","440.00","806.00","1475.00","0.59","4.28","7.19","14.88","23.85","37.05","51.90","49.52","2.98","64.52","9.21","19.06","35.48","76.71","21.50","14.01","715.11","106.54","3540.91","222.82","352.14","587.13","2306.92","718.11","36.19","89.18","156.59","0.64","2.95","23.48","8.44","0.22","50.83","0.94","6.54","26.60","1.38","52.82","40.34","8.18","21.91","71.27","51.31","13.23","2.09","20.35","71.65","82.50","90.26","1281.42","0.51","","4.83","18.10","57.42","65.49","73.54","","24.97","32.91","23.07","10.57","13.25","85.55","82.36","43.77","96.68","99.74","8.23","3.37","19.20","58.77","3.73","14.71","8.99","27.91","3.09","14.47","13.33","2.27","2.50","0.26","33.63","15.68","58.84","13.30","88521","104467","103818","108303","108235","97308","84836","73541","60332","50418","37844","94254","27645","19495","13736","8339","8637","1089729","84502","102369","109207","116549","118566","107674","93883","81605","67863","58076","44981","90575","34688","25734","19171","13272","16588","1185303","","9990","23238","1036025","34203","164013","121243","123884","103697","1710344","128385","437877","128963","1581959","128326","309492","129805","1272467","35123","35704","35137","191948","484346","124972","102369","65580","907857","682101","84867","2275032","2190165","1917180","206836","128385","1581959","2268465","","","","","","123.10","117.18","121.54","96.54","49.09","94.20","84.36","0.662","0.653","0.729","0.656","0.817","0.722"
"62100","RM Grande São Luís (MA)","2010","73.51","1.82","19.30","21.06","95.30","86.95","42.15","4.99","10.30","2.57","1.45","5.45","1.48","5.78","2.20","6.98","16.57","13.74","108.17","113.92","92.51","29.18","89.66","93.05","53.00","14.28","49.01","87.90","30.90","14.28","95.67","96.74","94.37","23.13","2.31","8.69","87.51","65.43","83.53","71.63","68.30","50.49","58.57","53.92","52.62","11.86","163.33","266.50","433.33","802.50","1500.00","0.60","5.91","9.26","16.08","25.51","38.83","54.55","50.19","2.68","65.32","8.70","18.32","34.68","78.05","23.08","15.02","710.73","95.07","3566.98","214.01","341.85","581.63","2321.08","718.38","30.58","81.15","151.33","0.67","3.57","19.60","11.30","0.81","50.97","0.76","5.62","22.04","1.24","54.68","43.31","7.35","23.54","76.41","59.85","13.83","3.00","21.18","71.91","82.10","89.99","1283.90","0.51","","4.89","16.40","59.66","67.09","74.71","","24.53","34.64","25.41","11.85","14.78","81.24","78.06","38.13","90.58","99.85","9.45","4.85","15.95","50.99","3.26","11.90","7.76","23.39","2.34","13.43","14.95","3.20","2.54","0.15","37.72","14.26","56.04","18.30","52014","60262","61448","70982","66441","55238","46287","40503","33040","26918","20591","53419","14345","10395","7462","4807","4815","628967","50883","60077","67112","78366","74953","64925","55046","48254","39031","31602","23822","51619","17549","13124","10090","6864","8897","702214","","5885","12529","621594","20719","95351","70288","72347","61988","1002907","76399","277908","77648","926508","79753","201509","83088","724999","20190","20884","20136","109142","280892","66454","60077","39819","539635","394157","233065","1331181","1098116","1123246","120339","76399","926508","1327992","","","","","","120.18","116.67","119.24","97.14","62.34","94.99","89.89","0.716","0.748","0.755","0.737","0.809","0.721"
"62300","RM Fortaleza (CE)","2010","73.86","1.91","16.78","18.02","96.08","87.84","43.32","6.32","10.33","3.21","1.92","9.20","2.21","9.79","3.49","11.69","17.69","13.49","102.59","113.05","75.06","26.76","87.68","91.79","44.41","12.53","48.84","83.57","29.76","14.00","95.92","96.22","92.74","27.19","2.98","7.65","84.88","58.36","78.10","61.30","57.10","42.47","50.32","42.63","40.70","10.67","162.00","258.14","405.71","733.33","1336.67","0.61","4.79","7.80","16.04","26.55","39.68","56.96","51.59","2.94","65.73","9.06","18.64","34.27","75.66","22.77","14.50","688.72","101.28","3553.44","210.88","329.82","538.19","2263.44","690.81","37.09","88.83","155.28","0.67","3.27","18.94","7.06","0.16","46.55","1.02","16.86","20.55","1.55","56.69","47.74","4.59","23.88","68.42","49.91","11.99","2.20","20.99","76.65","85.37","91.76","1172.62","0.52","","5.01","21.25","64.71","65.73","76.59","","19.19","28.81","17.74","8.03","9.14","91.55","90.12","33.34","95.99","99.59","4.88","1.13","24.54","51.16","3.78","18.76","11.84","31.39","3.08","19.39","14.27","2.28","2.68","0.41","34.74","21.59","61.43","12.83","134071","166255","170099","181362","169786","145202","125276","117683","102297","76407","58754","139359","46465","32689","24964","15471","18257","1724397","127745","162449","174306","191677","182455","159511","141836","134798","118530","92840","73687","134530","59833","43651","36174","23912","33436","1891370","","16468","44602","1670505","51641","262392","193529","199953","157103","2751358","209893","717444","209459","2541465","205015","507551","208293","2033914","53072","53533","52776","286668","758953","228554","162449","105961","1466646","1100663","140641","3615767","3475126","3080062","328704","209893","2541465","3603182","","","","","","119.78","102.46","115.01","96.60","54.53","93.31","87.63","0.613","0.704","0.732","0.672","0.814","0.716"
"62400","RM Natal (RN)","2010","73.83","1.93","17.28","18.80","94.42","83.97","43.29","6.55","10.03","4.64","2.91","10.83","3.20","11.46","5.07","13.43","20.65","15.44","104.81","115.76","75.58","36.38","88.33","92.15","40.51","17.35","48.15","84.32","35.95","17.34","93.45","96.65","93.29","31.35","3.74","8.06","86.10","52.73","75.10","60.29","56.75","42.67","50.70","44.12","42.55","12.48","170.00","285.00","488.57","900.00","1665.00","0.61","4.92","8.80","15.20","26.65","36.23","54.33","50.07","2.62","65.63","8.39","17.96","34.37","72.43","23.87","15.64","778.86","102.21","3899.98","224.54","372.50","639.24","2555.82","781.84","34.39","85.36","152.25","0.69","4.11","19.07","7.72","0.61","51.94","1.14","10.43","19.28","1.91","63.34","50.10","8.16","18.63","68.29","52.40","14.70","2.36","18.55","71.96","81.56","89.55","1319.22","0.53","","4.12","20.98","64.94","65.06","76.61","","27.39","35.91","21.92","10.12","11.56","95.15","94.33","29.16","98.02","99.73","3.26","0.66","27.65","51.85","3.35","20.81","13.27","31.32","2.74","15.97","13.07","1.66","2.35","0.27","34.03","19.92","59.24","10.07","50069","61357","62238","67184","63087","55238","47381","45179","39579","30690","22703","52542","18682","12745","9364","5882","7689","651609","47734","59656","63033","69857","67254","60165","52894","51215","45828","35901","27907","50810","24090","17182","13569","9216","13525","709836","","4986","16101","626223","19528","96421","71291","72717","57985","1039277","76745","262312","75304","962532","74190","185567","77053","776965","20290","20728","19735","107216","280382","89172","59656","38487","551636","418746","142059","1361445","1219386","1160290","121013","76745","962532","1356555","","","","","","123.64","99.79","117.14","96.90","50.20","93.86","88.79","0.603","0.687","0.733","0.658","0.814","0.736"
"62600","RM Recife (PE)","2010","73.79","1.69","17.30","20.08","94.26","83.71","42.22","7.06","9.86","3.06","1.97","8.65","2.44","9.12","3.47","10.51","20.30","15.91","105.01","115.30","75.94","32.34","88.15","91.89","41.45","14.27","50.87","86.21","34.06","16.01","94.77","97.06","94.22","29.69","3.75","7.85","84.42","54.62","74.86","61.01","58.12","42.20","49.78","44.21","43.05","12.21","160.00","261.00","430.00","802.00","1510.00","0.64","5.89","10.29","16.46","27.96","39.47","57.27","54.62","2.44","68.64","7.86","16.55","31.36","69.11","27.81","17.48","780.36","95.20","4262.04","211.30","339.29","577.73","2678.30","782.50","35.61","83.12","151.83","0.77","1.74","19.33","7.29","0.14","54.75","1.30","8.87","19.69","1.87","62.82","52.13","5.91","19.13","69.74","53.81","15.26","1.56","19.49","73.00","82.71","89.86","1314.92","0.56","","3.93","19.02","63.98","63.19","77.33","","35.18","44.25","27.59","13.49","15.69","92.00","90.64","27.02","95.39","99.90","4.91","1.59","26.54","49.13","2.94","20.34","12.88","31.24","2.80","15.87","15.35","3.05","3.22","0.10","35.74","18.08","65.92","16.84","127342","157357","156221","163127","162149","151304","136274","123450","108508","90723","69129","139934","53570","36587","26913","16354","17761","1736703","123212","152492","156492","172095","176984","168956","156487","143949","130265","111614","90718","134587","72886","53766","43140","28721","37480","1953844","","12177","35941","1685063","48882","245668","183365","184025","149685","2855623","188962","647935","187659","2666661","188099","458973","192175","2207688","51987","52974","53030","285728","720358","260722","152492","94190","1543553","1214966","101371","3690547","3589176","3165472","309849","188962","2666661","3673540","","","","","","124.48","109.54","120.57","97.16","52.14","94.59","87.73","0.610","0.690","0.734","0.662","0.813","0.736"
