"Cod_Reg","NOME_REG","COD_MUN","NOME_MUN","NOME_RM","CODRM","ANO","ESPVIDA","FECTOT","MORT1","MORT5","SOBRE40","SOBRE60","RAZDEP","T_ENV","E_ANOSESTUDO","T_ANALF11A14","T_ANALF15A17","T_ANALF15M","T_ANALF18A24","T_ANALF18M","T_ANALF25A29","T_ANALF25M","T_ATRASO_2_BASICO","T_ATRASO_2_FUND","T_FBBAS","T_FBFUND","T_FBMED","T_FBSUPER","T_FLBAS","T_FLFUND","T_FLMED","T_FLSUPER","T_FREQ0A5","T_FREQ15A17","T_FREQ18A24","T_FREQ25A29","T_FREQ5A6","T_FREQ6A14","T_FREQ6A17","T_FREQFUND1517","T_FREQFUND1824","T_FREQMED1824","T_FUND11A13","T_FUND15A17","T_FUND18A24","T_FUND18M","T_FUND25M","T_MED18A20","T_MED18A24","T_MED18M","T_MED25M","T_SUPER25M","CORTE1","CORTE2","CORTE3","CORTE4","CORTE9","GINI","PIND","PINDCRI","PMPOB","PMPOBCRI","PPOB","PPOBCRI","PREN10RICOS","PREN20","PREN20RICOS","PREN40","PREN60","PREN80","PRENTRAB","R1040","R2040","RDPC","RDPC1","RDPC10","RDPC2","RDPC3","RDPC4","RDPC5","RDPCT","RIND","RMPOB","RPOB","THEIL","P_AGRO","P_COM","P_CONSTR","P_EXTR","P_SERV","P_SIUP","P_TRANSF","CPR","EMP","P_FORMAL","TRABCC","TRABPUB","TRABSC","P_FUND","P_MED","P_SUPER","REN0","REN1","REN2","REN3","REN5","RENOCUP","THEILtrab","T_ATIV","T_ATIV1014","T_ATIV1517","T_ATIV1824","T_ATIV18M","T_ATIV2529","T_DES","T_DES1014","T_DES1517","T_DES1824","T_DES18M","T_DES2529","T_AGUA","T_BANAGUA","T_DENS","T_LIXO","T_LUZ","AGUA_ESGOTO","PAREDE","T_CRIFUNDIN_TODOS","T_FORA0A5","T_FORA6A14","T_FUNDIN_TODOS","T_FUNDIN_TODOS_MMEIO","T_FUNDIN18MINF","T_M10A17CF","T_MULCHEFEFIF014","T_NESTUDA_NTRAB_MMEIO","T_OCUPDESLOC_1","T_RMAXIDOSO","T_SLUZ","T_VULNERA_NESTUDA_NTRAB_MMEIO","T_VULNERA_MULCHEFE","T_VULNERA_RMAXIDOSO","T_VULNERA_OCUPDESLOC_13","HOMEM0A4","HOMEM10A14","HOMEM15A19","HOMEM20A24","HOMEM25A29","HOMEM30A34","HOMEM35A39","HOMEM40A44","HOMEM45A49","HOMEM50A54","HOMEM55A59","HOMEM5A9","HOMEM60A64","HOMEM65A69","HOMEM70A74","HOMEM75A79","HOMENS80","HOMEMTOT","MULH0A4","MULH10A14","MULH15A19","MULH20A24","MULH25A29","MULH30A34","MULH35A39","MULH40A44","MULH45A49","MULH50A54","MULH55A59","MULH5A9","MULH60A64","MULH65A69","MULH70A74","MULH75A79","MULHER80","MULHERTOT","PEA","PEA1014","PEA1517","PEA18M","PESO1","PESO1114","PESO1113","PESO1214","PESO13","PESO15","PESO1517","PESO1524","PESO1618","PESO18","PESO1820","PESO1824","PESO1921","PESO25","PESO4","PESO5","PESO6","PESO610","PESO617","PESO65","PESOM1014","PESOM1517","PESOM15M","PESOM25M","PESORUR","PESOTOT","PESOURB","PIA","PIA1014","PIA1517","PIA18M","POP","POPT","MULCHEFEFDOM","DOMVULNERACOMID","POPVULNERAVEL15A24","OCUPMMEIOD","T_FBFUND_TUDO","T_FBMED_TUDO","T_FBBAS_TUDO","T_FLFUND_TUDO","T_FLMED_TUDO","T_FLBAS_TUDO","T_FUND11A13_TUDO","I_ESCOLARIDADE","I_FREQ_PROP","IDHM","IDHM_E","IDHM_L","IDHM_R"
"326034501","RPA 01 ( Sul )","260345","CAMARAGIBE","RM Recife (PE)","62600","2000","68.64","2.10","40.40","51.11","88.74","74.61","47.28","5.24","9.27","5.17","4.64","13.01","4.56","13.76","6.44","16.38","32.92","23.70","115.41","125.15","88.61","6.98","90.20","94.78","27.72","3.34","40.55","83.53","37.27","11.60","92.85","96.41","92.98","47.95","8.02","19.29","55.42","33.18","59.09","42.48","37.80","21.70","28.50","23.79","22.46","3.12","98.26","174.85","273.68","440.20","683.72","0.53","10.91","17.33","29.73","41.22","56.97","68.71","41.71","3.47","57.18","11.18","23.66","42.82","73.60","14.92","10.23","354.80","61.63","1479.85","136.75","221.34","339.89","1014.40","359.58","42.75","79.89","133.21","0.49","0.36","21.15","8.19","0.00","55.22","0.65","11.21","21.50","1.43","58.78","45.31","8.36","22.16","53.87","34.23","4.64","1.28","53.33","82.65","91.01","96.92","818.21","0.45","","1.68","22.06","63.75","58.85","73.29","","40.24","48.86","34.63","19.91","18.74","91.23","78.83","37.34","88.23","99.85","16.09","","40.68","59.45","3.59","32.01","24.86","46.28","2.68","10.83","18.05","","4.13","0.15","30.08","19.62","55.83","","2531","2804","2985","3023","2750","2319","2008","1691","1409","1118","811","2598","733","474","347","220","207","28026","2525","2703","3037","3219","2966","2656","2262","1937","1634","1415","994","2614","923","653","498","319","365","30718","","93","775","23222","1023","4455","3300","3313","3028","42971","3511","12264","3637","39460","3746","8753","3773","30707","1005","1084","1059","5178","13144","3080","2703","1768","22877","16621","0","58744","58744","48478","5507","3511","39460","58582","","","","","","133.29","100.97","124.66","96.41","31.63","93.15","76.80","0.425","0.508","0.596","0.479","0.727","0.609"
"326034502","RPA 02 ( Sudoeste )","260345","CAMARAGIBE","RM Recife (PE)","62600","2000","66.08","2.41","49.20","62.19","86.49","70.47","51.02","4.04","8.94","5.55","4.98","20.07","6.60","21.49","10.36","25.84","32.11","23.77","118.04","130.18","78.08","0.86","89.44","95.09","21.47","0.71","36.54","76.76","33.62","12.22","84.89","95.89","91.43","48.83","13.61","15.69","52.88","25.36","41.34","28.64","24.73","8.94","16.15","12.97","11.99","1.18","73.69","130.14","195.21","290.08","390.42","0.44","17.01","25.04","42.81","55.41","75.93","85.74","33.29","4.47","48.60","14.02","29.19","51.40","73.61","9.50","6.93","208.33","46.55","693.58","99.45","158.03","231.41","506.22","212.95","41.95","77.08","126.23","0.33","0.59","19.15","13.43","0.00","54.03","0.43","10.49","16.90","1.07","52.57","46.15","4.32","30.67","38.59","19.74","1.74","0.89","63.05","91.57","96.47","99.22","537.82","0.25","","2.61","28.08","63.18","57.55","67.20","","43.99","31.35","33.18","22.50","19.87","93.25","67.41","47.38","77.65","100.00","24.76","","52.44","63.46","4.11","45.76","39.08","57.34","0.00","15.26","26.06","","4.70","0.00","35.31","40.86","58.82","","1257","1212","1268","1276","1179","1021","916","693","581","496","364","1279","303","219","115","78","60","12316","1145","1189","1203","1328","1273","1075","921","692","584","499","394","1279","319","192","132","75","128","12428","","63","425","9281","487","1959","1489","1457","1429","17639","1512","5161","1545","16127","1508","3649","1526","12478","533","544","526","2540","6011","1016","1209","720","8944","6371","0","25132","25132","20040","2401","1512","16127","24104","","","","","","134.96","89.53","124.37","96.11","22.90","91.12","74.08","0.286","0.430","0.512","0.375","0.685","0.524"
"326034503","RPA 03 ( Sudeste )","260345","CAMARAGIBE","RM Recife (PE)","62600","2000","68.93","2.09","39.40","49.92","88.99","75.08","45.79","4.68","9.68","3.11","2.72","10.09","2.98","10.78","4.56","12.91","30.72","19.89","117.09","131.97","76.06","9.69","88.62","92.34","32.92","4.53","45.91","87.31","37.03","13.35","95.87","97.86","95.05","45.21","13.75","13.58","63.81","40.58","55.26","45.82","43.40","24.97","27.51","28.20","28.37","4.40","130.14","195.21","292.81","468.50","732.03","0.49","6.63","12.34","23.51","31.66","54.79","66.18","38.15","4.40","54.56","12.94","25.76","45.44","71.32","11.80","8.44","362.76","79.73","1383.90","154.89","232.57","357.02","989.60","364.27","40.72","87.53","144.82","0.42","0.80","14.94","9.79","0.00","59.35","0.85","12.24","20.48","1.02","60.90","49.29","7.95","20.57","56.90","38.03","6.00","0.68","48.47","79.66","87.83","96.25","806.66","0.37","","3.03","23.49","69.57","61.61","71.46","","40.31","74.06","46.45","23.27","25.72","94.78","84.86","35.50","97.63","100.00","8.47","","36.38","54.09","2.14","29.61","21.63","43.23","2.51","14.44","20.46","","5.25","0.00","34.28","20.30","66.95","","648","797","805","777","692","632","544","489","338","317","236","673","195","128","83","48","35","7434","635","737","823","803","810","690","652","544","437","374","276","665","235","165","106","72","93","8113","","46","229","6420","266","1254","933","913","766","11393","973","3208","989","10420","988","2235","1003","8186","250","298","267","1319","3546","728","737","482","6077","4451","0","15546","15546","12927","1534","973","10420","15498","","","","","","143.38","90.92","129.42","97.86","39.83","95.86","78.13","0.458","0.563","0.618","0.526","0.732","0.613"
"326034504","RPA 04 ( Centro Leste )","260345","CAMARAGIBE","RM Recife (PE)","62600","2000","66.93","2.39","46.20","58.36","87.26","71.86","54.28","3.69","7.54","9.04","6.19","17.89","7.22","19.13","9.70","23.17","40.16","31.08","117.94","133.46","76.47","2.48","85.05","93.38","13.89","0.58","30.02","71.71","31.83","18.22","78.51","94.17","88.05","48.25","10.82","16.22","35.79","17.71","42.45","29.47","24.55","6.11","15.76","12.65","11.48","2.19","78.08","123.63","176.86","294.77","430.44","0.52","14.79","22.00","45.53","58.87","75.83","87.68","42.69","4.09","57.06","12.46","24.70","42.94","69.61","13.71","9.16","242.84","49.64","1036.68","101.63","148.63","221.44","692.84","245.71","41.42","82.54","122.14","0.46","1.10","17.16","15.07","0.29","55.04","0.00","7.97","20.92","1.74","48.73","43.22","2.77","30.76","35.25","16.02","1.98","0.59","68.38","91.42","95.68","98.35","551.47","0.33","","3.00","29.24","73.24","63.92","73.69","","42.38","47.18","38.56","24.54","17.77","93.20","71.05","53.44","81.93","99.94","21.97","","53.77","69.98","5.83","44.66","38.15","57.10","2.67","19.15","27.24","","3.47","0.06","36.12","29.72","51.12","","792","778","843","833","678","582","469","370","288","246","173","762","159","89","69","33","41","7204","747","756","815","772","710","624","510","388","375","301","207","792","172","121","99","36","50","7474","","46","326","6733","349","1435","1081","1041","1086","11648","1115","3782","1190","10534","1187","2668","1154","7866","341","393","368","1768","4317","628","872","535","5977","4139","0","17019","17019","13182","1534","1115","10534","16985","","","","","","140.88","83.79","125.33","94.17","15.07","88.05","59.02","0.295","0.345","0.500","0.327","0.699","0.548"
"326034505","RPA 05 ( Norte )","260345","CAMARAGIBE","RM Recife (PE)","62600","2000","70.02","1.97","36.00","45.66","89.87","76.79","56.95","4.24","7.82","9.39","10.58","25.35","13.59","26.92","18.01","31.17","37.76","30.84","110.44","124.23","65.65","7.08","86.08","90.59","22.11","3.86","30.29","79.23","39.35","11.78","73.36","94.09","90.59","49.32","14.01","14.79","38.22","22.99","31.82","25.61","23.59","8.29","12.09","16.35","17.74","7.67","78.08","126.50","176.08","325.35","897.96","0.78","15.09","22.70","48.57","63.38","71.29","84.18","75.12","1.65","83.01","4.83","9.40","16.99","81.27","62.27","34.41","643.34","52.95","4832.51","102.27","147.14","244.09","2670.25","650.83","45.96","87.32","117.73","1.24","4.97","14.28","12.86","0.00","58.74","0.49","5.15","16.50","2.16","42.34","35.54","2.54","42.69","29.98","19.69","8.01","0.57","65.56","84.56","87.54","91.23","1595.57","1.14","","2.01","25.73","68.64","66.01","72.52","","36.61","41.02","33.72","19.30","19.84","84.67","56.65","46.03","67.83","100.00","36.24","","73.64","69.71","5.91","62.11","52.98","60.23","6.63","24.17","23.11","","2.55","0.00","31.63","46.78","46.05","","809","791","821","837","696","591","491","429","331","272","204","835","186","112","83","57","55","7600","791","799","805","764","700","554","495","423","312","269","195","788","178","106","95","53","66","7391","","32","205","4971","265","1092","833","800","787","8328","797","2621","812","7531","772","1824","759","5707","263","276","255","1251","3139","520","663","384","4088","2812","0","12262","12262","9918","1590","797","7531","11988","","","","","","135.78","69.67","120.22","94.09","22.59","90.59","60.27","0.256","0.357","0.553","0.320","0.750","0.705"
"326079001","Regional 01 ( Centro )","260790","JABOATÃO DOS GUARARAPES","RM Recife (PE)","62600","2000","67.54","2.30","44.10","55.72","87.80","72.84","50.56","4.89","8.45","7.95","6.27","15.93","6.99","16.86","9.31","19.57","37.05","26.97","112.21","129.64","65.25","6.05","89.23","92.81","24.43","2.68","40.33","82.54","33.12","9.35","90.01","95.00","91.62","53.46","12.34","13.83","53.94","28.64","48.52","36.41","33.11","17.38","22.96","20.46","19.78","2.23","91.10","147.38","228.39","380.66","575.87","0.51","12.75","17.84","36.44","48.34","64.88","76.12","39.96","3.73","55.55","11.91","24.45","44.45","70.88","13.42","9.33","292.20","54.43","1167.54","119.60","183.16","292.19","811.65","297.58","40.71","81.36","128.26","0.45","1.74","18.30","10.04","0.25","51.13","0.68","15.42","20.02","1.34","56.72","49.37","3.83","23.87","46.01","29.33","3.37","1.54","54.74","84.81","92.62","97.82","739.44","0.40","","4.24","25.36","65.88","58.45","70.62","","57.77","59.48","43.21","26.94","28.67","91.84","77.20","39.50","70.04","99.66","14.71","","48.48","59.67","5.00","41.26","34.59","53.01","2.57","15.09","23.88","","4.27","0.34","35.68","27.21","49.42","","4802","5288","5371","5080","4822","4218","3765","3004","2390","1776","1404","4992","1143","770","643","391","357","50213","4646","5135","5434","5213","5125","4675","4093","3505","2714","2094","1720","4973","1543","1077","789","530","535","53798","","442","1658","39534","1863","8481","6267","6431","5662","74176","6538","21098","6609","67638","6365","14560","6121","53079","1922","2018","1946","9889","24908","5091","5135","3269","39045","28398","3465","104010","100545","84599","10423","6538","67638","103731","","","","","","135.41","73.77","118.73","95.06","26.57","91.80","69.49","0.364","0.475","0.563","0.435","0.709","0.578"
"326079002","Regional 02 ( Cavaleiro )","260790","JABOATÃO DOS GUARARAPES","RM Recife (PE)","62600","2000","67.65","2.28","43.70","55.24","87.90","73.02","51.78","4.78","8.23","8.54","6.26","14.72","6.48","15.52","8.03","18.14","34.47","25.37","108.43","125.44","60.96","3.44","86.68","91.22","21.87","1.54","41.15","77.99","28.41","9.06","89.10","94.12","89.87","50.74","10.09","12.88","52.05","25.83","48.92","36.71","33.25","16.38","24.68","19.86","18.50","1.26","97.60","147.38","225.47","342.59","499.74","0.52","12.21","17.33","35.85","46.42","66.61","77.81","42.91","3.81","56.74","12.04","24.41","43.26","74.82","14.25","9.42","295.61","56.28","1268.44","121.71","182.73","278.66","838.66","299.77","40.91","82.46","132.15","0.49","0.38","21.26","9.30","0.09","54.58","0.49","11.57","23.97","1.28","54.04","46.85","3.67","23.31","46.85","27.67","1.68","0.95","57.56","88.14","94.13","98.13","762.77","0.49","","4.72","29.66","65.47","59.33","72.69","","50.72","54.37","36.86","24.69","24.61","92.49","72.38","43.90","65.13","99.93","19.27","","44.34","58.85","5.88","37.86","30.68","52.77","4.04","19.03","24.74","","4.49","0.07","36.72","30.60","51.23","","5241","5396","5490","5399","4836","4268","3724","2846","2327","1900","1422","5298","1131","738","547","380","348","51288","5058","5262","5506","5575","5265","4745","4153","3265","2818","2329","1693","5005","1513","1088","865","528","599","55266","","503","1936","40801","2100","8596","6406","6480","6183","75295","6526","21969","6706","68769","6656","15443","6565","53326","2016","2163","2064","10202","25324","5093","5262","3240","39941","28861","0","106554","106554","85953","10658","6526","68769","106095","","","","","","132.22","68.89","115.52","94.34","24.22","90.05","71.08","0.367","0.458","0.560","0.425","0.711","0.580"
"326079003","Regional 03 ( Curado )","260790","JABOATÃO DOS GUARARAPES","RM Recife (PE)","62600","2000","69.04","2.06","39.10","49.50","89.07","75.24","45.59","3.65","9.38","4.91","3.16","7.92","3.67","8.36","4.51","9.62","24.74","18.19","114.97","122.28","94.70","10.32","89.90","92.76","39.98","4.74","42.36","85.76","33.16","11.32","84.47","96.68","93.78","39.69","8.23","17.65","64.54","45.02","60.56","53.78","51.96","22.44","32.29","32.45","32.50","2.82","117.13","209.20","318.84","536.82","780.84","0.46","8.05","13.51","24.56","35.84","49.07","60.28","33.51","3.88","50.73","12.61","26.76","49.27","73.15","10.63","8.05","371.50","72.16","1245.06","162.00","262.83","418.26","942.24","373.84","40.09","82.71","138.61","0.39","0.74","19.10","6.21","0.07","58.25","0.67","11.95","20.22","0.90","64.45","53.50","7.42","17.09","63.57","43.15","3.67","0.87","44.24","76.98","88.12","96.86","809.85","0.31","","3.67","20.16","73.36","66.66","79.81","","56.69","66.55","39.40","23.90","23.10","97.49","83.84","33.75","75.81","100.00","6.50","","29.45","57.64","3.32","22.87","18.25","37.04","3.38","15.38","17.52","","2.80","0.00","33.93","23.71","50.49","","1949","2287","2290","2060","1827","1698","1773","1563","1179","917","521","2064","369","228","154","119","106","21103","1863","2196","2416","2254","2183","2089","2122","1791","1469","1002","678","1999","483","362","269","188","205","23567","","165","556","19701","770","3649","2756","2744","2278","32314","2760","9019","2852","29554","2822","6259","2711","23296","764","795","746","4102","10511","1632","2196","1458","17510","12841","0","44671","44671","36797","4483","2760","29554","44437","","","","","","128.80","102.77","121.91","96.84","43.61","94.09","79.77","0.538","0.541","0.625","0.540","0.734","0.617"
"326079004","Regional 04 ( Muribeca )","260790","JABOATÃO DOS GUARARAPES","RM Recife (PE)","62600","2000","67.90","2.26","42.80","54.20","88.11","73.42","52.32","3.13","7.92","12.13","8.63","14.47","9.59","15.04","10.95","16.61","30.95","23.94","103.17","113.08","73.16","3.41","82.78","87.25","28.94","1.20","37.46","71.95","28.80","7.65","82.49","90.09","85.59","39.13","8.70","15.75","53.16","33.87","53.26","46.07","43.97","18.64","23.35","26.01","26.79","1.70","86.67","156.56","244.01","418.24","620.11","0.49","11.93","16.17","33.23","43.62","62.90","74.47","36.75","3.57","53.79","11.93","25.11","46.21","75.47","12.32","9.02","297.77","53.15","1094.42","124.50","196.14","314.22","800.82","304.46","36.64","76.54","130.26","0.41","3.22","21.60","6.83","0.15","53.11","0.55","11.02","20.79","0.53","60.53","53.10","3.78","20.27","55.63","35.73","2.26","1.54","49.14","81.36","90.70","97.49","753.47","0.32","","4.61","27.61","60.21","62.97","71.21","","34.17","59.55","42.58","26.23","23.97","89.50","72.40","40.51","81.14","98.82","17.67","","40.38","62.54","9.91","33.42","28.05","42.86","3.55","14.53","27.65","","2.72","1.18","41.36","27.27","51.54","","2486","2323","2429","2095","1928","1906","1715","1449","1079","782","484","2368","358","229","185","107","82","22003","2423","2333","2329","2339","2267","2207","1997","1595","1177","862","565","2339","455","313","233","134","151","23718","","215","772","18043","991","3767","2864","2819","2937","31449","2795","9192","2892","28654","2894","6397","2741","22257","982","1029","992","4568","11130","1432","2333","1361","16623","11955","6424","45721","39297","36105","4656","2795","28654","43958","","","","","","117.62","82.87","108.99","90.08","32.60","85.92","71.04","0.461","0.470","0.579","0.467","0.715","0.581"
"326079005","Regional 05 ( Prazeres )","260790","JABOATÃO DOS GUARARAPES","RM Recife (PE)","62600","2000","68.57","2.12","40.60","51.41","88.68","74.49","52.22","4.22","7.84","9.68","7.54","14.94","7.33","15.69","9.06","18.27","36.62","28.04","106.90","122.55","62.30","4.81","83.73","88.77","20.81","2.13","33.59","73.17","29.22","7.53","81.92","91.17","86.50","47.09","10.39","13.27","49.11","26.12","46.88","37.01","33.87","16.26","20.73","20.46","20.37","2.53","97.60","156.38","244.01","411.89","614.91","0.52","12.12","17.32","33.94","45.60","61.88","72.96","40.55","3.63","56.22","11.52","23.78","43.78","72.94","14.08","9.76","318.43","57.82","1291.24","125.66","195.14","318.41","895.13","322.62","42.38","81.49","129.89","0.46","0.90","20.23","8.66","0.12","49.98","0.48","16.41","24.36","1.66","52.76","45.34","2.94","24.44","46.02","27.90","3.54","1.39","54.12","83.70","90.90","96.74","763.53","0.39","","6.65","31.34","66.80","61.76","73.62","","60.33","54.74","35.67","23.92","25.28","96.43","78.47","45.80","76.03","99.64","12.64","","45.57","66.41","8.83","39.18","30.45","51.40","3.66","19.84","25.34","","3.35","0.36","39.48","32.06","45.77","","4412","4422","4643","4461","3899","3320","2893","2320","1868","1442","1112","4251","854","598","426","263","222","41405","4310","4334","4722","4725","4342","3867","3314","2726","2207","1790","1281","4335","1134","833","568","346","404","45235","","582","1744","33975","1763","7176","5421","5345","5212","60576","5565","18550","5807","55011","5728","12986","5498","42026","1747","1783","1803","8383","21123","3659","4334","2810","32257","22810","3193","86639","83446","69332","8756","5565","55011","86239","","","","","","128.37","69.58","113.10","91.28","22.27","86.55","66.28","0.370","0.434","0.562","0.412","0.726","0.592"
"326079006","Regional 06 ( Praias )","260790","JABOATÃO DOS GUARARAPES","RM Recife (PE)","62600","2000","71.78","1.78","30.90","39.19","91.24","79.51","47.21","4.05","8.75","6.73","4.84","9.31","5.64","9.74","6.98","10.89","28.23","23.70","104.09","115.41","72.84","27.75","87.65","90.43","40.21","16.25","40.86","81.72","38.48","14.08","82.69","93.15","90.11","36.27","7.13","10.70","57.78","45.33","61.27","61.08","61.03","33.11","38.46","47.31","49.75","18.19","122.98","260.28","644.58","1444.55","2570.12","0.66","8.27","13.37","23.27","34.89","39.76","53.86","50.69","1.35","68.67","4.80","12.78","31.33","74.38","42.22","28.60","1055.10","71.25","5348.40","182.14","420.63","978.60","3622.90","1070.54","38.75","79.75","125.88","0.90","0.86","19.42","6.26","0.06","59.53","0.60","10.07","23.18","6.69","59.49","42.60","6.30","19.36","68.44","56.38","20.31","1.84","35.14","56.76","64.17","77.89","2215.92","0.80","","4.77","25.45","66.16","66.64","75.63","","34.77","57.22","31.91","18.80","19.09","93.47","76.20","33.28","74.84","99.65","12.76","","35.75","59.14","6.85","26.35","21.81","30.85","3.05","16.83","14.79","","1.61","0.35","35.44","26.39","52.98","","6007","6571","7013","6155","5263","5140","4973","4252","3279","2615","1694","6102","1243","850","592","355","289","62389","5906","6593","7078","6992","6435","6030","6009","4964","3983","3077","2085","5943","1575","1147","909","521","640","69883","","628","2257","61595","2600","11357","8517","8564","7672","101297","8867","29130","9113","92430","9015","20263","8650","72167","2477","2617","2701","12958","33182","5704","7037","4443","54696","39669","0","140976","140976","114461","13164","8867","92430","139935","","","","","","119.76","82.65","109.88","93.31","44.02","90.43","72.72","0.611","0.547","0.703","0.568","0.780","0.785"
