"Resultado da consulta avançada","","","","","","","","","","","","",""
"Todos os Bairros do Recife","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Bairro","Código","Percentual de crianças de 10 a 14 anos analfabetas, 2000","Percentual de responsável pelo domicílio com renda até 1 sm, 2000","Renda média dos responsáveis pelo domicílio do sexo feminino, 2000","Renda média dos responsáveis pelo domicílio do sexo masculino, 2000","Percentual de pessoas que vivem em domicílios com água encanada, 2000","Percentual de pessoas que vivem em domicílios com instalação sanitária, 2000","Percentual de pessoas que vivem em domicílios urbanos com serviço de coleta de lixo, 2000","Percentual de pessoas que vivem em domicílios sem água encanada, 2000","Razão de dependência, 2000","Pessoas em domicílios particulares exceto domésticas, pensionistas e com renda missing, 2000","População residente total, 2000","População total exceto residentes em domicílios coletivos, 2000"
"","","","","","","","","","","","","",""
"Aflitos","15  ","0.53 ","1.31 ","2,678.35 ","4,095.95 ","100.00 ","99.86 ","100.00 ","0.00 ","40.67 ","..   ","4,382 ","..   "
"Afogados","75  ","8.64 ","25.14 ","351.83 ","625.36 ","89.55 ","98.54 ","91.55 ","10.45 ","49.01 ","..   ","36,146 ","..   "
"Água Fria","35  ","11.38 ","35.46 ","275.24 ","397.63 ","81.78 ","97.52 ","98.48 ","18.22 ","53.75 ","..   ","44,020 ","..   "
"Alto do Mandu","47  ","3.44 ","25.83 ","303.90 ","568.54 ","96.03 ","99.67 ","99.86 ","3.97 ","46.36 ","..   ","5,089 ","..   "
"Alto José Bonifácio","50  ","8.74 ","36.57 ","197.96 ","317.92 ","74.05 ","97.14 ","98.52 ","25.95 ","51.55 ","..   ","12,377 ","..   "
"Alto José do Pinho","52  ","7.70 ","37.31 ","216.10 ","362.36 ","85.41 ","97.67 ","99.44 ","14.59 ","49.99 ","..   ","12,433 ","..   "
"Alto Santa Terezinha","31  ","7.75 ","36.39 ","196.68 ","300.14 ","84.69 ","98.11 ","99.03 ","15.31 ","53.33 ","..   ","7,826 ","..   "
"Apipucos","43  ","11.48 ","18.57 ","253.54 ","715.30 ","91.01 ","95.91 ","96.29 ","8.99 ","49.63 ","..   ","3,467 ","..   "
"Areias","78  ","6.31 ","17.45 ","544.93 ","794.75 ","94.45 ","98.01 ","99.09 ","5.55 ","44.62 ","..   ","31,120 ","..   "
"Arruda","21  ","7.08 ","18.33 ","623.94 ","857.27 ","90.52 ","96.40 ","98.62 ","9.48 ","49.12 ","..   ","13,434 ","..   "
"Barro","86  ","10.54 ","25.04 ","280.62 ","448.24 ","76.74 ","95.57 ","87.17 ","23.26 ","55.56 ","..   ","31,111 ","..   "
"Beberibe","30  ","7.87 ","34.38 ","210.52 ","372.39 ","90.90 ","97.24 ","96.77 ","9.10 ","51.31 ","..   ","8,629 ","..   "
"Boa Viagem","92  ","3.04 ","5.40 ","1,893.38 ","3,419.27 ","95.02 ","98.78 ","98.76 ","4.98 ","39.10 ","..   ","100,388 ","..   "
"Boa Vista","3  ","1.28 ","4.74 ","1,300.26 ","2,038.60 ","99.19 ","99.74 ","99.87 ","0.81 ","38.42 ","..   ","14,033 ","..   "
"Bomba do Hemetério","36  ","10.70 ","34.58 ","235.45 ","381.15 ","87.61 ","98.07 ","95.03 ","12.39 ","49.92 ","..   ","8,643 ","..   "
"Bongi","65  ","11.05 ","26.32 ","430.29 ","733.42 ","90.58 ","98.17 ","99.54 ","9.42 ","47.57 ","..   ","8,211 ","..   "
"Brasília Teimosa","94  ","9.81 ","32.75 ","216.34 ","376.29 ","68.46 ","95.46 ","94.13 ","31.54 ","49.82 ","..   ","19,155 ","..   "
"Brejo da Guabiraba","41  ","14.27 ","40.58 ","188.17 ","310.98 ","82.40 ","97.54 ","96.90 ","17.60 ","54.69 ","..   ","11,362 ","..   "
"Brejo do Beberibe","46  ","5.85 ","29.65 ","185.00 ","335.09 ","95.58 ","99.11 ","95.99 ","4.42 ","51.82 ","..   ","5,813 ","..   "
"Cabanga","10  ","5.69 ","24.72 ","492.14 ","776.83 ","95.64 ","98.37 ","100.00 ","4.36 ","49.56 ","..   ","1,536 ","..   "
"Caçote","79  ","15.88 ","36.02 ","160.74 ","264.82 ","78.75 ","93.29 ","98.47 ","21.25 ","59.30 ","..   ","7,672 ","..   "
"Cajueiro","33  ","5.03 ","16.97 ","578.38 ","971.60 ","95.73 ","99.01 ","96.01 ","4.27 ","45.23 ","..   ","6,746 ","..   "
"Campina do Barreto","20  ","10.71 ","31.09 ","245.21 ","439.73 ","91.38 ","94.06 ","97.57 ","8.62 ","51.82 ","..   ","8,335 ","..   "
"Campo Grande","24  ","8.73 ","26.59 ","475.47 ","795.09 ","85.99 ","94.50 ","98.39 ","14.01 ","52.26 ","..   ","31,241 ","..   "
"Casa Amarela","48  ","1.39 ","16.77 ","811.01 ","1,511.27 ","96.22 ","99.77 ","99.25 ","3.78 ","44.83 ","..   ","25,543 ","..   "
"Casa Forte","55  ","0.30 ","2.15 ","2,640.12 ","4,685.70 ","99.41 ","100.00 ","100.00 ","0.59 ","38.63 ","..   ","4,475 ","..   "
"Caxangá","70  ","7.87 ","20.91 ","525.64 ","797.14 ","91.21 ","97.55 ","96.67 ","8.79 ","54.83 ","..   ","6,667 ","..   "
"Cidade Universitária","74  ","4.48 ","24.20 ","398.97 ","774.61 ","92.21 ","96.35 ","85.41 ","7.79 ","54.62 ","..   ","603 ","..   "
"Coelhos","8  ","10.75 ","36.79 ","190.04 ","389.33 ","85.90 ","91.53 ","81.60 ","14.10 ","56.27 ","..   ","6,826 ","..   "
"Cohab","87  ","8.28 ","27.24 ","229.14 ","362.04 ","84.87 ","97.09 ","94.96 ","15.13 ","51.51 ","..   ","69,134 ","..   "
"Coqueiral","82  ","10.06 ","25.79 ","214.53 ","358.34 ","91.98 ","99.13 ","91.97 ","8.02 ","50.54 ","..   ","11,092 ","..   "
"Cordeiro","60  ","3.28 ","14.72 ","749.34 ","1,279.68 ","96.18 ","99.64 ","99.95 ","3.82 ","43.47 ","..   ","37,538 ","..   "
"Córrego do Jenipapo","42  ","8.38 ","30.84 ","209.12 ","335.33 ","86.49 ","98.89 ","98.26 ","13.51 ","48.85 ","..   ","8,602 ","..   "
"Curado","80  ","7.40 ","28.55 ","209.22 ","430.91 ","90.60 ","98.28 ","86.77 ","9.40 ","48.68 ","..   ","13,481 ","..   "
"Derby","12  ","0.00 ","1.60 ","2,521.99 ","3,803.32 ","99.39 ","99.49 ","100.00 ","0.61 ","35.77 ","..   ","2,175 ","..   "
"Dois Irmãos","40  ","10.56 ","24.21 ","272.72 ","448.67 ","79.51 ","92.70 ","80.04 ","20.49 ","54.38 ","..   ","3,046 ","..   "
"Dois Unidos","28  ","9.57 ","31.85 ","206.61 ","306.42 ","81.48 ","96.82 ","91.24 ","18.52 ","53.28 ","..   ","27,228 ","..   "
"Encruzilhada","25  ","2.29 ","5.84 ","1,293.71 ","2,106.25 ","99.53 ","99.84 ","99.99 ","0.47 ","44.84 ","..   ","9,348 ","..   "
"Engenho do Meio","73  ","2.16 ","18.12 ","513.13 ","976.32 ","98.12 ","99.75 ","99.97 ","1.88 ","44.20 ","..   ","10,560 ","..   "
"Espinheiro","16  ","1.71 ","4.65 ","2,033.23 ","3,350.08 ","98.44 ","99.00 ","99.83 ","1.56 ","42.57 ","..   ","8,902 ","..   "
"Estância","77  ","7.50 ","27.10 ","303.56 ","500.66 ","93.17 ","93.77 ","99.37 ","6.83 ","51.50 ","..   ","8,934 ","..   "
"Fundão","34  ","7.15 ","27.14 ","375.08 ","669.20 ","95.74 ","99.52 ","98.93 ","4.26 ","47.60 ","..   ","6,927 ","..   "
"Graças","13  ","0.31 ","0.84 ","2,650.63 ","4,134.08 ","99.85 ","99.98 ","100.00 ","0.15 ","37.92 ","..   ","16,877 ","..   "
"Guabiraba","38  ","19.69 ","35.37 ","165.89 ","325.31 ","66.95 ","89.75 ","61.12 ","33.05 ","61.58 ","..   ","7,318 ","..   "
"Hipódromo","23  ","2.65 ","7.76 ","1,184.09 ","2,137.28 ","99.50 ","100.00 ","100.00 ","0.50 ","42.69 ","..   ","2,627 ","..   "
"Ibura","89  ","9.03 ","25.19 ","250.04 ","461.53 ","78.72 ","96.94 ","89.94 ","21.28 ","50.83 ","..   ","43,681 ","..   "
"Ilha do Leite","7  ","0.00 ","4.95 ","1,113.58 ","1,964.01 ","99.90 ","100.00 ","100.00 ","0.10 ","48.68 ","..   ","959 ","..   "
"Ilha do Retiro","64  ","18.92 ","18.55 ","496.75 ","1,830.73 ","70.76 ","97.02 ","96.06 ","29.24 ","52.39 ","..   ","3,252 ","..   "
"Ilha Joana Bezerra","9  ","16.91 ","42.32 ","126.74 ","222.60 ","61.96 ","85.16 ","86.48 ","38.04 ","70.54 ","..   ","12,755 ","..   "
"Imbiribeira","91  ","8.41 ","19.13 ","554.95 ","953.25 ","81.10 ","96.13 ","95.52 ","18.90 ","47.05 ","..   ","46,471 ","..   "
"Ipsep","90  ","2.89 ","11.63 ","660.74 ","1,009.52 ","98.26 ","99.69 ","98.08 ","1.74 ","43.31 ","..   ","25,714 ","..   "
"Iputinga","71  ","8.64 ","22.70 ","548.68 ","845.73 ","89.90 ","96.21 ","97.10 ","10.10 ","47.88 ","..   ","46,944 ","..   "
"Jaqueira","14  ","1.30 ","0.65 ","3,651.81 ","5,719.12 ","98.04 ","100.00 ","100.00 ","1.96 ","32.00 ","..   ","1,188 ","..   "
"Jardim São Paulo","85  ","4.44 ","18.90 ","455.59 ","726.17 ","93.53 ","99.23 ","98.02 ","6.47 ","45.24 ","..   ","29,614 ","..   "
"Jiquiá","76  ","6.89 ","24.98 ","399.11 ","691.18 ","93.52 ","97.74 ","96.23 ","6.48 ","49.04 ","..   ","7,802 ","..   "
"Jordão","88  ","5.18 ","25.63 ","276.53 ","398.72 ","80.86 ","97.27 ","87.32 ","19.14 ","53.92 ","..   ","21,833 ","..   "
"Linha do Tiro","29  ","10.54 ","35.66 ","198.59 ","347.94 ","88.77 ","96.67 ","93.68 ","11.23 ","53.50 ","..   ","13,947 ","..   "
"Macaxeira","44  ","10.35 ","31.98 ","253.30 ","384.98 ","79.75 ","96.38 ","98.83 ","20.25 ","56.68 ","..   ","19,282 ","..   "
"Madalena","62  ","4.38 ","15.28 ","1,227.59 ","2,090.92 ","91.72 ","98.95 ","98.46 ","8.28 ","45.37 ","..   ","19,786 ","..   "
"Mangabeira","53  ","7.38 ","29.45 ","318.23 ","508.53 ","87.43 ","98.33 ","99.78 ","12.57 ","51.48 ","..   ","7,321 ","..   "
"Mangueira","68  ","12.21 ","31.31 ","229.55 ","356.81 ","85.50 ","98.96 ","99.83 ","14.50 ","50.28 ","..   ","8,734 ","..   "
"Monteiro","58  ","3.41 ","22.62 ","775.22 ","2,498.69 ","93.29 ","98.73 ","98.79 ","6.71 ","43.13 ","..   ","4,739 ","..   "
"Morro da Conceição","51  ","5.88 ","37.08 ","205.40 ","342.53 ","89.35 ","99.40 ","99.91 ","10.65 ","50.07 ","..   ","10,142 ","..   "
"Mustardinha","67  ","8.88 ","32.67 ","264.19 ","419.75 ","85.33 ","99.14 ","99.90 ","14.67 ","49.85 ","..   ","11,693 ","..   "
"Nova Descoberta","45  ","8.16 ","35.99 ","186.22 ","270.87 ","78.35 ","97.96 ","97.63 ","21.65 ","53.59 ","..   ","34,676 ","..   "
"Paissandu","6  ","0.00 ","4.17 ","1,398.77 ","2,341.35 ","97.88 ","100.00 ","100.00 ","2.12 ","36.86 ","..   ","531 ","..   "
"Parnamirim","54  ","1.33 ","8.31 ","2,182.17 ","4,268.23 ","97.88 ","98.78 ","99.59 ","2.12 ","45.34 ","..   ","5,363 ","..   "
"Passarinho","27  ","9.59 ","36.64 ","144.20 ","227.93 ","70.72 ","91.41 ","79.35 ","29.28 ","60.77 ","..   ","15,426 ","..   "
"Pau-Ferro","37  ","26.09 ","31.11 ","471.00 ","1,420.79 ","55.06 ","97.32 ","62.50 ","44.94 ","47.37 ","..   ","336 ","..   "
"Peixinhos","19  ","18.98 ","42.02 ","145.48 ","241.49 ","76.75 ","89.57 ","90.90 ","23.25 ","64.76 ","..   ","4,213 ","..   "
"Pina","93  ","11.18 ","24.81 ","528.60 ","926.52 ","68.38 ","95.69 ","87.03 ","31.62 ","47.42 ","..   ","27,422 ","..   "
"Poço","57  ","5.57 ","10.50 ","1,868.34 ","4,188.64 ","97.45 ","99.71 ","99.89 ","2.55 ","40.32 ","..   ","4,006 ","..   "
"Ponto de Parada","22  ","4.58 ","14.32 ","862.16 ","1,446.64 ","94.62 ","98.39 ","99.46 ","5.38 ","46.50 ","..   ","1,673 ","..   "
"Porto da Madeira","32  ","6.95 ","19.68 ","515.21 ","744.07 ","95.56 ","96.20 ","97.82 ","4.44 ","46.70 ","..   ","7,643 ","..   "
"Prado","63  ","4.58 ","22.47 ","607.21 ","1,005.33 ","91.82 ","99.53 ","99.12 ","8.18 ","44.80 ","..   ","10,953 ","..   "
"Recife","1  ","19.05 ","48.96 ","102.78 ","207.34 ","8.58 ","54.46 ","97.69 ","91.42 ","62.85 ","..   ","925 ","..   "
"Rosarinho","17  ","3.20 ","16.99 ","1,099.76 ","2,121.98 ","93.75 ","99.27 ","100.00 ","6.25 ","48.57 ","..   ","2,606 ","..   "
"San Martin","66  ","5.50 ","21.14 ","418.42 ","659.45 ","90.08 ","96.92 ","98.34 ","9.92 ","47.06 ","..   ","22,959 ","..   "
"Sancho","83  ","3.23 ","19.01 ","430.30 ","616.22 ","96.74 ","99.58 ","98.88 ","3.26 ","67.94 ","..   ","9,163 ","..   "
"Santana","56  ","2.70 ","14.99 ","1,680.74 ","3,355.18 ","86.49 ","98.25 ","99.79 ","13.51 ","45.67 ","..   ","2,437 ","..   "
"Santo Amaro","2  ","9.29 ","28.19 ","564.00 ","801.28 ","92.83 ","96.64 ","97.99 ","7.17 ","52.84 ","..   ","29,140 ","..   "
"Santo Antônio","5  ","0.00 ","21.78 ","443.45 ","786.45 ","100.00 ","100.00 ","100.00 ","0.00 ","40.73 ","..   ","539 ","..   "
"Sao José","11  ","18.02 ","37.68 ","205.58 ","316.09 ","77.37 ","91.60 ","91.38 ","22.63 ","59.94 ","..   ","8,653 ","..   "
"Sítio dos Pintos","39  ","8.73 ","26.90 ","338.23 ","527.79 ","93.34 ","96.89 ","93.01 ","6.66 ","54.22 ","..   ","5,660 ","..   "
"Soledade","4  ","2.34 ","2.69 ","1,381.01 ","1,953.27 ","99.86 ","99.53 ","99.91 ","0.14 ","36.96 ","..   ","2,201 ","..   "
"Tamarineira","18  ","1.55 ","4.72 ","1,589.17 ","2,836.40 ","94.22 ","99.97 ","99.90 ","5.78 ","43.59 ","..   ","11,662 ","..   "
"Tejipió","84  ","3.19 ","18.58 ","422.87 ","731.72 ","98.10 ","99.45 ","97.38 ","1.90 ","47.38 ","..   ","8,486 ","..   "
"Torre","59  ","5.05 ","17.84 ","1,019.64 ","1,556.47 ","97.44 ","98.39 ","99.82 ","2.56 ","48.06 ","..   ","16,931 ","..   "
"Torreão","26  ","2.78 ","2.01 ","1,617.78 ","3,494.33 ","100.00 ","100.00 ","100.00 ","0.00 ","42.41 ","..   ","900 ","..   "
"Torrões","72  ","7.38 ","31.35 ","229.98 ","417.32 ","91.10 ","98.48 ","98.08 ","8.90 ","53.27 ","..   ","29,510 ","..   "
"Totó","81  ","5.24 ","23.96 ","244.10 ","446.87 ","92.58 ","99.25 ","99.91 ","7.42 ","51.40 ","..   ","2,265 ","..   "
"Várzea","69  ","5.44 ","21.37 ","490.26 ","758.58 ","86.91 ","98.05 ","98.41 ","13.09 ","47.10 ","..   ","64,512 ","..   "
"Vasco da Gama","49  ","7.86 ","34.31 ","227.16 ","365.12 ","81.68 ","98.63 ","99.38 ","18.32 ","50.72 ","..   ","29,426 ","..   "
"Zumbi","61  ","5.59 ","18.45 ","486.09 ","931.31 ","93.76 ","99.72 ","99.25 ","6.24 ","45.43 ","..   ","5,759 ","..   "
"Total Recife","","7.52 ","22.71 ","646.09 ","1,074.39 ","87.53 ","97.44 ","96.09 ","12.47 ","48.75 ","1,407,836 ","1,422,905 ","1,308,217 "
"","","","","","","","","","","","","",""
"Fonte: Atlas do Desenvolvimento Humano no Recife","","","","","","","","","","","","",""
